pair,band,band_idx,groupA,groupB,comparison,symbol,test,stat,p_uncorrected,meanA,semA,nA,meanB,semB,nB,shapiro_p_A,shapiro_p_B,cliffs_delta,p_corrected,significant_corrected,significant_uncorrected
ACA_R–PCA_R,$\delta$,0,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Mann–Whitney,70.0,0.5545304064894243,0.6052168883891339,0.04424941513308284,11,0.5716478085945144,0.039719571572318556,11,0.009960433130347755,0.5555229687314258,0.15702479338842976,0.6931630081117803,False,False
ACA_R–PCA_R,$\theta$,1,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Mann–Whitney,78.0,0.26429152373398135,0.8465396093621436,0.040195047164773276,11,0.8019495304778296,0.036935221923897144,11,0.0011583572351755258,0.26964907171262187,0.2892561983471074,0.6607288093349534,False,False
ACA_R–PCA_R,$\alpha$,2,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Mann–Whitney,90.0,0.0568030609419034,0.9401863169516788,0.02792930595537806,11,0.8872229664021908,0.02886738149906939,11,0.0001267549717309619,0.19957879126630348,0.48760330578512395,0.28401530470951697,False,False
ACA_R–PCA_R,$\beta$,3,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Welch t-test,-0.07991280556668326,0.9371121040290711,0.8037951881445543,0.02725569783210826,11,0.8067063110737437,0.02416981870572259,11,0.48038447453005906,0.14897148340798894,0.0743801652892562,0.9371121040290711,False,False
ACA_R–PCA_R,$\gamma$,4,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Mann–Whitney,70.0,0.5545304064894243,0.550731549462517,0.014989704317398607,11,0.5508945550547572,0.017330587458799385,11,0.040376305512219525,0.018444971303177144,0.15702479338842976,0.6931630081117803,False,False
ACA_R–PCA_R,$\delta$,0,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Mann–Whitney,42.0,0.23721752775378102,0.5488785299825064,0.02346440922328013,11,0.6171024530886233,0.031339151817223715,11,0.03804671001197229,0.8831554682707186,-0.30578512396694213,0.6378186230446953,False,False
ACA_R–PCA_R,$\theta$,1,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Welch t-test,-0.6704375258513419,0.5102548984357562,0.7864249222507841,0.03565482062004024,11,0.8207802540002512,0.03680481420234804,11,0.26632948598091793,0.8344591596814424,-0.2066115702479339,0.6378186230446953,False,False
ACA_R–PCA_R,$\alpha$,2,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Mann–Whitney,49.0,0.4701007598741287,0.8475897449008641,0.0389578838206029,11,0.8716440444232764,0.039348039408329726,11,0.09051012268658666,0.024223816230709874,-0.19008264462809918,0.6378186230446953,False,False
ACA_R–PCA_R,$\beta$,3,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Welch t-test,-0.7184746131081934,0.4809579743020773,0.7347671629393185,0.02917042457395311,11,0.7624151891005847,0.02509814791817548,11,0.9392037332012528,0.28521351847954934,-0.19008264462809918,0.6378186230446953,False,False
ACA_R–PCA_R,$\gamma$,4,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Welch t-test,0.21973867683498982,0.8284493598467445,0.5711603898268403,0.009794113594010776,11,0.5676263750426072,0.012756646418616164,11,0.18475822905509162,0.15437594334626126,0.0743801652892562,0.8284493598467445,False,False
