pair,band,band_idx,groupA,groupB,comparison,symbol,test,stat,df,p_uncorrected,meanA,semA,nA,meanB,semB,nB,shapiro_p_A,shapiro_p_B,cliffs_delta,p_corrected,significant_corrected,significant_uncorrected
ACA_R–PCA_R,$\delta$,0,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Welch's t-test,0.21561736028254688,16.603092834112882,0.8319125716838032,0.17688044157016272,0.08023364880507897,11,0.15657914080079785,0.049270610514061744,11,0.910488393719947,0.5689188954461808,0.04132231404958678,0.8319125716838032,False,False
ACA_R–PCA_R,$\theta$,1,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Mann–Whitney,91.0,,0.04884406417427429,0.7488940154689089,0.07501453798958685,11,0.4777323242866045,0.10150488461045068,11,0.003846863657248783,0.40866504673506626,0.5041322314049587,0.21942027957581023,False,True
ACA_R–PCA_R,$\alpha$,2,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Mann–Whitney,87.0,,0.0877681118303241,0.8805673678809356,0.0762177203233674,11,0.7674512112722666,0.07221483571898075,11,5.52934482461395e-07,0.05194664185670384,0.4380165289256198,0.21942027957581023,False,False
ACA_R–PCA_R,$\beta$,3,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Welch's t-test,0.6026582201660888,19.79584499334183,0.5535779691151017,0.6354936362389678,0.07297633632589626,11,0.5698757976474969,0.08080505834456549,11,0.7206530452947739,0.4092542580091957,0.10743801652892562,0.8319125716838032,False,False
ACA_R–PCA_R,$\gamma$,4,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Welch's t-test,-0.23102338495957825,19.302665294764477,0.8197277390390388,0.10746325142219679,0.02096450308243944,11,0.11507407379122848,0.025412463811099427,11,0.2726051923482413,0.3176823060588502,-0.008264462809917356,0.8319125716838032,False,False
ACA_R–PCA_R,$\delta$,0,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Mann–Whitney,19.0,,0.0070968436292014455,0.010689468727984668,0.01808802288914796,11,0.1629009874648306,0.07541829878753206,11,2.4509630952029324e-05,0.001026628023820437,-0.6859504132231405,0.035484218146007225,True,True
ACA_R–PCA_R,$\theta$,1,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Welch's t-test,-0.9599348802697769,17.850841327399344,0.3499108553297777,0.46605125942037523,0.07070612096525138,11,0.5848332670250417,0.10154873621165517,11,0.978206555876958,0.12888752441500326,-0.2727272727272727,0.43738856916222213,False,False
ACA_R–PCA_R,$\alpha$,2,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Mann–Whitney,45.0,,0.32463627173040743,0.7386480473095027,0.07069199778422451,11,0.7708366624346343,0.09581937791774474,11,0.07692037926790983,0.0018706188614200044,-0.256198347107438,0.43738856916222213,False,False
ACA_R–PCA_R,$\beta$,3,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Welch's t-test,0.035021230283830564,19.928520184950212,0.9724112282653719,0.482236941125122,0.08302068987613842,11,0.47824299372749335,0.07818893261755497,11,0.4118401084232593,0.9781376265792068,0.05785123966942149,0.9724112282653719,False,False
ACA_R–PCA_R,$\gamma$,4,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Mann–Whitney,80.0,,0.21216467995625798,0.12097963387387027,0.023107703573965795,11,0.08523718874510494,0.017870486295130373,11,0.02217945716290187,0.2756177325991497,0.32231404958677684,0.43738856916222213,False,False
ACA_R–PCA_R,$\delta$,0,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Mann–Whitney,86.0,,0.10066768749863966,0.17688044157016272,0.08023364880507897,11,0.010689468727984668,0.01808802288914796,11,0.910488393719947,2.4509630952029324e-05,0.4214876033057851,0.16777947916439945,False,False
ACA_R–PCA_R,$\theta$,1,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Mann–Whitney,102.0,,0.0070968436292014455,0.7488940154689089,0.07501453798958685,11,0.46605125942037523,0.07070612096525138,11,0.003846863657248783,0.978206555876958,0.6859504132231405,0.035484218146007225,True,True
ACA_R–PCA_R,$\alpha$,2,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Mann–Whitney,97.5,,0.016509640695560282,0.8805673678809356,0.0762177203233674,11,0.7386480473095027,0.07069199778422451,11,5.52934482461395e-07,0.07692037926790983,0.6115702479338843,0.041274101738900705,True,True
ACA_R–PCA_R,$\beta$,3,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Welch's t-test,1.3864995731955745,19.676389086476018,0.18110496432550632,0.6354936362389678,0.07297633632589626,11,0.482236941125122,0.08302068987613842,11,0.7206530452947739,0.4118401084232593,0.32231404958677684,0.2263812054068829,False,False
ACA_R–PCA_R,$\gamma$,4,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Mann–Whitney,54.0,,0.6935883744907081,0.10746325142219679,0.02096450308243944,11,0.12097963387387027,0.023107703573965795,11,0.2726051923482413,0.02217945716290187,-0.10743801652892562,0.6935883744907081,False,False
ACA_R–PCA_R,$\delta$,0,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Mann–Whitney,75.0,,0.35793336989339997,0.15657914080079785,0.049270610514061744,11,0.1629009874648306,0.07541829878753206,11,0.5689188954461808,0.001026628023820437,0.2396694214876033,0.5804850822779379,False,False
ACA_R–PCA_R,$\theta$,1,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Welch's t-test,-0.7459290881805128,19.999996268879283,0.46438806582235037,0.4777323242866045,0.10150488461045068,11,0.5848332670250417,0.10154873621165517,11,0.40866504673506626,0.12888752441500326,-0.19008264462809918,0.5804850822779379,False,False
ACA_R–PCA_R,$\alpha$,2,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Mann–Whitney,53.0,,0.6457638203049723,0.7674512112722666,0.07221483571898075,11,0.7708366624346343,0.09581937791774474,11,0.05194664185670384,0.0018706188614200044,-0.12396694214876033,0.6457638203049723,False,False
ACA_R–PCA_R,$\beta$,3,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Welch's t-test,0.814941585699501,19.978375760714375,0.42471456019201037,0.5698757976474969,0.08080505834456549,11,0.47824299372749335,0.07818893261755497,11,0.4092542580091957,0.9781376265792068,0.2066115702479339,0.5804850822779379,False,False
ACA_R–PCA_R,$\gamma$,4,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Welch's t-test,0.9604098689689944,17.946916769445895,0.34961064426925903,0.11507407379122848,0.025412463811099427,11,0.08523718874510494,0.017870486295130373,11,0.3176823060588502,0.2756177325991497,0.17355371900826447,0.5804850822779379,False,False
