pair,band,band_idx,groupA,groupB,comparison,symbol,test,stat,p_uncorrected,meanA,semA,nA,meanB,semB,nB,shapiro_p_A,shapiro_p_B,p_corrected,significant_corrected,significant_uncorrected
A1_L–A1_R,$\delta$,0,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Mann–Whitney,51.0,0.5545304064894243,0.5164501529598253,0.038676306023441284,11,0.5609112083307793,0.028157443081654583,11,0.0371591639755598,0.9950301723810496,0.8686960116789854,False,False
A1_L–A1_R,$\theta$,1,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Welch t-test,0.21978887843901246,0.829439072608297,0.5464150497031696,0.06808946370551144,11,0.5303272572368152,0.02686192631667472,11,0.26503331299087085,0.12207413658860111,0.9518153292226359,False,False
A1_L–A1_R,$\alpha$,2,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Welch t-test,0.6290832043893875,0.5380797983003187,0.5699785032676984,0.08446351273978593,11,0.508345415147791,0.04964472398593672,11,0.35118216912084343,0.43610545019939007,0.8686960116789854,False,False
A1_L–A1_R,$\beta$,3,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Welch t-test,-0.24898985919592617,0.8061077182149126,0.5018838848295089,0.026295454845962785,11,0.5100623724843308,0.019683819814596885,11,0.17488760379350732,0.22013726827984917,0.9404590045840647,False,False
A1_L–A1_R,$\gamma$,4,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Mann–Whitney,68.0,0.6457638203049723,0.49145002864307724,0.018087411742984897,11,0.49641359124379575,0.015498601175065269,11,0.72238524216739,0.00327671895622631,0.8931309726891965,False,False
A1_L–A1_R,$\delta$,0,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Mann–Whitney,71.0,0.5114059218501164,0.5397008645847893,0.038516423206690145,11,0.4997275222967195,0.028342211906279245,11,0.047117732069482304,0.3153533174453637,0.9552667554860557,False,False
A1_L–A1_R,$\theta$,1,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Welch t-test,1.0083214397849705,0.32542828047176064,0.5505706715239947,0.05627219813650926,11,0.47349862997559716,0.051729096102982035,11,0.260783245130437,0.6213900075877004,0.9051660326674703,False,False
A1_L–A1_R,$\alpha$,2,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Welch t-test,0.9126384052186058,0.3723085467159829,0.5502510416602413,0.0674250132142042,11,0.46416441948709664,0.06596580622322225,11,0.7201799247800462,0.5674250980185129,0.9552667554860557,False,False
A1_L–A1_R,$\beta$,3,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Welch t-test,1.4034980044076493,0.17665309702949383,0.5254158386491363,0.03159975756709034,11,0.4690177098840609,0.024823520519608608,11,0.7061080163000489,0.8304641756404058,0.8486061360261091,False,False
A1_L–A1_R,$\gamma$,4,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Welch t-test,0.24513139067628267,0.8091479254981899,0.48384701674695113,0.014344299492146285,11,0.4795599045851986,0.01000537434860178,11,0.7194410107455205,0.9879897449208732,0.9858310102596282,False,False
A1_L–A1_R,$\delta$,0,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Mann–Whitney,53.0,0.6457638203049723,0.5164501529598253,0.038676306023441284,11,0.5397008645847893,0.038516423206690145,11,0.0371591639755598,0.047117732069482304,0.8449246246980946,False,False
A1_L–A1_R,$\theta$,1,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Welch t-test,-0.0470449032316562,0.9629604736554935,0.5464150497031696,0.06808946370551144,11,0.5505706715239947,0.05627219813650926,11,0.26503331299087085,0.260783245130437,0.9698882468472596,False,False
A1_L–A1_R,$\alpha$,2,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Welch t-test,0.1825348292486312,0.8570901186826017,0.5699785032676984,0.08446351273978593,11,0.5502510416602413,0.0674250132142042,11,0.35118216912084343,0.7201799247800462,0.9426465723144747,False,False
A1_L–A1_R,$\beta$,3,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Welch t-test,-0.5724205246919635,0.573624911034218,0.5018838848295089,0.026295454845962785,11,0.5254158386491363,0.03159975756709034,11,0.17488760379350732,0.7061080163000489,0.8194641586203114,False,False
A1_L–A1_R,$\gamma$,4,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Welch t-test,0.3293497614147247,0.7454917976074604,0.49145002864307724,0.018087411742984897,11,0.48384701674695113,0.014344299492146285,11,0.72238524216739,0.7194410107455205,0.882578774845047,False,False
A1_L–A1_R,$\delta$,0,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Welch t-test,1.5314489251562264,0.14132447782631047,0.5609112083307793,0.028157443081654583,11,0.4997275222967195,0.028342211906279245,11,0.9950301723810496,0.3153533174453637,0.9878515391279474,False,False
A1_L–A1_R,$\theta$,1,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Welch t-test,0.9749668097672594,0.3450109672325288,0.5303272572368152,0.02686192631667472,11,0.47349862997559716,0.051729096102982035,11,0.12207413658860111,0.6213900075877004,0.9878515391279474,False,False
A1_L–A1_R,$\alpha$,2,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Welch t-test,0.5351406742463974,0.5989009613327402,0.508345415147791,0.04964472398593672,11,0.46416441948709664,0.06596580622322225,11,0.43610545019939007,0.5674250980185129,0.9878515391279474,False,False
A1_L–A1_R,$\beta$,3,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Welch t-test,1.2955774977095043,0.21063103668512953,0.5100623724843308,0.019683819814596885,11,0.4690177098840609,0.024823520519608608,11,0.22013726827984917,0.8304641756404058,0.9878515391279474,False,False
A1_L–A1_R,$\gamma$,4,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Mann–Whitney,66.0,0.7426659029196823,0.49641359124379575,0.015498601175065269,11,0.4795599045851986,0.01000537434860178,11,0.00327671895622631,0.9879897449208732,0.9878515391279474,False,False
A1_L–ACA_R,$\delta$,0,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Welch t-test,-0.39207619044811465,0.6992750459774089,0.48913380164918263,0.04503836319351886,11,0.5121691420911603,0.03772754101235639,11,0.12710649956297526,0.7293864470293301,0.8981514352003417,False,False
A1_L–ACA_R,$\theta$,1,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Mann–Whitney,48.0,0.430708328947102,0.435066107930342,0.05142483504216247,11,0.4797913693947918,0.06442639223016446,11,0.03396351174449435,0.49786249673701355,0.8686960116789854,False,False
