pair,band,band_idx,groupA,groupB,comparison,symbol,test,stat,p_uncorrected,meanA,semA,nA,meanB,semB,nB,shapiro_p_A,shapiro_p_B,p_corrected,significant_corrected,significant_uncorrected
A1_L–A1_R,$\delta$,0,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Welch t-test,-0.25487200697669393,0.8015803019704223,0.49384583794111686,0.045295071325183636,11,0.5084736323017833,0.035245982809408535,11,0.7273128650420606,0.3961597411430759,0.9123678233809684,False,False
A1_L–A1_R,$\theta$,1,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Welch t-test,0.6388175247233864,0.5333050932670216,0.555873007880347,0.05904376607164522,11,0.5144731285685348,0.026716800466197906,11,0.5266326846006809,0.803643352773448,0.8858782011462473,False,False
A1_L–A1_R,$\alpha$,2,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Welch t-test,1.2833719058181443,0.2190179119023292,0.6182649089576301,0.07297625296829055,11,0.5131688854091296,0.03715545320321056,11,0.5258562037605122,0.6935989816743596,0.7737608738968239,False,False
A1_L–A1_R,$\beta$,3,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Welch t-test,0.014918050737181323,0.9882501597437643,0.5166301347509834,0.023352975177341754,11,0.5161766945034808,0.019455575386928922,11,0.806656490640692,0.9568106883832799,0.9940883926044897,False,False
A1_L–A1_R,$\gamma$,4,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Welch t-test,-0.5611632664849092,0.5809781659215489,0.483301454659134,0.015622404527873007,11,0.49634863542551444,0.01721958618968462,11,0.3053193813329403,0.5615125774012559,0.8858782011462473,False,False
A1_L–A1_R,$\delta$,0,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Welch t-test,0.986046463945609,0.33592380362912355,0.5728324721234145,0.052878369341383624,11,0.5010082841347144,0.0500961766662761,11,0.07036716315200345,0.9173503433618269,0.999145355407249,False,False
A1_L–A1_R,$\theta$,1,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Welch t-test,0.8288051146130739,0.41709977009452115,0.5237726720251177,0.04872732059993836,11,0.46346087711009093,0.05404682313884469,11,0.11214299619244886,0.25034848199141135,0.999145355407249,False,False
A1_L–A1_R,$\alpha$,2,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Mann–Whitney,63.0,0.8955142436987509,0.48975968546715437,0.0707703327635261,11,0.4594642924717123,0.059321133376032634,11,0.019449377681267206,0.3682091261871828,0.999145355407249,False,False
A1_L–A1_R,$\beta$,3,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Welch t-test,1.4081555719233074,0.17909564659820026,0.5468760052656721,0.04518038250276262,11,0.4747281976998241,0.024162530713622076,11,0.3544751920348291,0.15476433526152444,0.9251582528136959,False,False
A1_L–A1_R,$\gamma$,4,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Welch t-test,1.4852617782285589,0.1601586873490664,0.5059631547023055,0.015321969993428393,11,0.48113349243439035,0.006686367142843315,11,0.4176432106407564,0.19039244852397094,0.9064430523863269,False,False
