pair,band,band_idx,groupA,groupB,comparison,symbol,test,stat,p_uncorrected,meanA,semA,nA,meanB,semB,nB,shapiro_p_A,shapiro_p_B,p_corrected,significant_corrected,significant_uncorrected
A1_L–A1_R,$\delta$,0,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Mann–Whitney,65.0,0.792812616632073,0.09937900270635075,0.06064803417586726,11,0.09967866999834275,0.06973137586567706,11,0.0002145399442382979,0.0005238395908383551,0.959058979205986,False,False
A1_L–A1_R,$\theta$,1,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Welch t-test,1.9814854687249288,0.0700229598452042,0.2108229531119221,0.0822286478550109,11,0.03797114185188611,0.029122569738558562,11,0.6339973382568713,0.8292821629088083,0.4269222474415605,False,False
A1_L–A1_R,$\alpha$,2,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Welch t-test,2.555023994129491,0.02510323367229129,0.37951565064980547,0.11951856631382926,11,0.05838823735331768,0.038883866167837046,11,0.2589833651131316,0.7614791316617618,0.4052948213469303,False,True
A1_L–A1_R,$\beta$,3,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Welch t-test,0.635778678959413,0.5348126553117274,0.046682301137866526,0.02558159677638131,11,0.028578544633663164,0.012506151479490446,11,0.797975344899219,0.25755640826094606,0.9063723153780405,False,False
A1_L–A1_R,$\gamma$,4,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Welch t-test,0.019991988413105795,0.9843286981769849,0.02874354436991716,0.01960875252242386,11,0.028310899552695456,0.009155643061227023,11,0.21103892765300383,0.18941924369259824,1.0,False,False
A1_L–A1_R,$\delta$,0,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Mann–Whitney,81.0,0.18908180596451618,0.3023138412465143,0.08180353138484045,11,0.1564994968913022,0.07712908427219214,11,0.6115371214665533,0.00039166953996158996,0.8027852755101653,False,False
A1_L–A1_R,$\theta$,1,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Mann–Whitney,50.0,0.5114059218501164,0.2049698070421608,0.07697154691485018,11,0.22598315388389095,0.05928184200594093,11,0.031435848452346433,0.7777162517124621,0.9638383598138127,False,False
A1_L–A1_R,$\alpha$,2,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Mann–Whitney,57.0,0.8438314252467704,0.24096198427640136,0.09924328445037305,11,0.24952983764068926,0.07365520620928644,11,0.039921905471000364,0.5965447074009848,1.0,False,False
A1_L–A1_R,$\beta$,3,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Mann–Whitney,73.0,0.430708328947102,0.17841070881389018,0.07551413324152365,11,0.049650262091812995,0.02113588392068674,11,0.02383293740067617,0.662876521716337,0.9638383598138127,False,False
A1_L–A1_R,$\gamma$,4,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Welch t-test,1.4310845438730648,0.17588662724302023,0.04122263938134343,0.013636564388776336,11,0.02023055092447324,0.00540496187060617,11,0.5000778827144539,0.37415391424230954,0.8027852755101653,False,False
A1_L–A1_R,$\delta$,0,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Mann–Whitney,34.0,0.0877681118303241,0.09937900270635075,0.06064803417586726,11,0.3023138412465143,0.08180353138484045,11,0.0002145399442382979,0.6115371214665533,0.6248468909822731,False,False
A1_L–A1_R,$\theta$,1,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Mann–Whitney,58.0,0.8955142436987509,0.2108229531119221,0.0822286478550109,11,0.2049698070421608,0.07697154691485018,11,0.6339973382568713,0.031435848452346433,0.957038123036833,False,False
A1_L–A1_R,$\alpha$,2,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Mann–Whitney,68.0,0.6457638203049723,0.37951565064980547,0.11951856631382926,11,0.24096198427640136,0.09924328445037305,11,0.2589833651131316,0.039921905471000364,0.9115776846944184,False,False
A1_L–A1_R,$\beta$,3,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Mann–Whitney,45.0,0.32463627173040743,0.046682301137866526,0.02558159677638131,11,0.17841070881389018,0.07551413324152365,11,0.797975344899219,0.02383293740067617,0.9089815608451408,False,False
A1_L–A1_R,$\gamma$,4,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Welch t-test,-0.5224814173274709,0.6077634805063968,0.02874354436991716,0.01960875252242386,11,0.04122263938134343,0.013636564388776336,11,0.21103892765300383,0.5000778827144539,0.9115776846944184,False,False
A1_L–A1_R,$\delta$,0,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Mann–Whitney,45.0,0.32463627173040743,0.09967866999834275,0.06973137586567706,11,0.1564994968913022,0.07712908427219214,11,0.0005238395908383551,0.00039166953996158996,0.9794687040455088,False,False
A1_L–A1_R,$\theta$,1,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Welch t-test,-2.846556611513854,0.012539221317544407,0.03797114185188611,0.029122569738558562,11,0.22598315388389095,0.05928184200594093,11,0.8292821629088083,0.7777162517124621,0.8777454922281085,False,True
A1_L–A1_R,$\alpha$,2,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Welch t-test,-2.2949222630399673,0.036402590352107494,0.05838823735331768,0.038883866167837046,11,0.24952983764068926,0.07365520620928644,11,0.7614791316617618,0.5965447074009848,0.9794687040455088,False,True
A1_L–A1_R,$\beta$,3,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Welch t-test,-0.8580146039257931,0.4033720380855219,0.028578544633663164,0.012506151479490446,11,0.049650262091812995,0.02113588392068674,11,0.25755640826094606,0.662876521716337,0.9794687040455088,False,False
A1_L–A1_R,$\gamma$,4,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Welch t-test,0.7600027306765091,0.45816137231024257,0.028310899552695456,0.009155643061227023,11,0.02023055092447324,0.00540496187060617,11,0.18941924369259824,0.37415391424230954,0.9794687040455088,False,False
A1_L–ACA_R,$\delta$,0,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Welch t-test,0.677602218353286,0.5059638446861061,0.21175811743504028,0.06808698580125884,11,0.15095207409087869,0.05845430344717789,11,0.1871133210507893,0.08248946073608399,0.8955738915323187,False,False
A1_L–ACA_R,$\theta$,1,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Mann–Whitney,76.0,0.32463627173040743,0.23733820947276696,0.07942686835982951,11,0.2288866122375384,0.10692286382636804,11,0.008984352392976385,0.007136128163220471,0.7901267342709555,False,False
A1_L–ACA_R,$\alpha$,2,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Mann–Whitney,92.0,0.04178899680298453,0.4664936924575402,0.08037398899176885,11,0.2398483695119871,0.11136624485300291,11,0.8239038029841175,0.004781056988680732,0.4052948213469303,False,True
A1_L–ACA_R,$\beta$,3,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Mann–Whitney,84.0,0.13096810379821186,0.19247241565366344,0.05623774301967257,11,0.08921384581235742,0.0373793933579032,11,0.015081781153724123,0.024809918109686933,0.57731020066732,False,False
A1_L–ACA_R,$\gamma$,4,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Welch t-test,-0.3348692005373036,0.7412277093644724,0.031153087779066637,0.012613540677093001,11,0.03692578107215382,0.011750305586119742,11,0.9996592476644279,0.20625699546949708,0.959058979205986,False,False
A1_L–ACA_R,$\delta$,0,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Welch t-test,-0.7539522776021099,0.4610006458867636,0.09023242426987656,0.08061694829939188,11,0.16307280266491667,0.053241605400274936,11,0.09334801930188769,0.05805071616108705,0.9638383598138127,False,False
A1_L–ACA_R,$\theta$,1,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Welch t-test,-0.663126022100256,0.5160629343324934,0.19996527921635973,0.05935469894432334,11,0.27227056930820315,0.09146634904856935,11,0.4152446099806906,0.19154433826663184,0.9638383598138127,False,False
A1_L–ACA_R,$\alpha$,2,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Welch t-test,-0.3590864412992337,0.7233079707004344,0.3646386659766882,0.0887870567592359,11,0.4111959131811295,0.09448386902267732,11,0.6568349168881911,0.6086185263002089,1.0,False,False
A1_L–ACA_R,$\beta$,3,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Welch t-test,-0.06264488719044901,0.9508394129463937,0.0819340491738071,0.05003741684962944,11,0.08552661101602899,0.028018837235564347,11,0.11638038254417322,0.11890892099111844,1.0,False,False
A1_L–ACA_R,$\gamma$,4,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Welch t-test,0.4347308545045008,0.6704369888862531,0.044330041187667785,0.020711417553967857,11,0.03445721299928562,0.009316154594440946,11,0.6066209573610304,0.2526208832347299,1.0,False,False
A1_L–ACA_R,$\delta$,0,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Welch t-test,1.1516602083349279,0.26341747860908726,0.21175811743504028,0.06808698580125884,11,0.09023242426987656,0.08061694829939188,11,0.1871133210507893,0.09334801930188769,0.8604840307617997,False,False
A1_L–ACA_R,$\theta$,1,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Mann–Whitney,65.0,0.792812616632073,0.23733820947276696,0.07942686835982951,11,0.19996527921635973,0.05935469894432334,11,0.008984352392976385,0.4152446099806906,0.9340922730193284,False,False
A1_L–ACA_R,$\alpha$,2,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Welch t-test,0.8504732471604808,0.40522714730870335,0.4664936924575402,0.08037398899176885,11,0.3646386659766882,0.0887870567592359,11,0.8239038029841175,0.6568349168881911,0.9115776846944184,False,False
A1_L–ACA_R,$\beta$,3,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Mann–Whitney,83.0,0.14856177489186861,0.19247241565366344,0.05623774301967257,11,0.0819340491738071,0.05003741684962944,11,0.015081781153724123,0.11638038254417322,0.6499577651519252,False,False
A1_L–ACA_R,$\gamma$,4,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Welch t-test,-0.5433787248071295,0.5941258485792646,0.031153087779066637,0.012613540677093001,11,0.044330041187667785,0.020711417553967857,11,0.9996592476644279,0.6066209573610304,0.9115776846944184,False,False
A1_L–ACA_R,$\delta$,0,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Welch t-test,-0.15329713313767998,0.8797133486532116,0.15095207409087869,0.05845430344717789,11,0.16307280266491667,0.053241605400274936,11,0.08248946073608399,0.05805071616108705,0.9794687040455088,False,False
A1_L–ACA_R,$\theta$,1,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Mann–Whitney,52.0,0.5993606964290359,0.2288866122375384,0.10692286382636804,11,0.27227056930820315,0.09146634904856935,11,0.007136128163220471,0.19154433826663184,0.9794687040455088,False,False
A1_L–ACA_R,$\alpha$,2,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Mann–Whitney,39.0,0.16790547565263503,0.2398483695119871,0.11136624485300291,11,0.4111959131811295,0.09448386902267732,11,0.004781056988680732,0.6086185263002089,0.9794687040455088,False,False
A1_L–ACA_R,$\beta$,3,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Mann–Whitney,54.0,0.6935883744907081,0.08921384581235742,0.0373793933579032,11,0.08552661101602899,0.028018837235564347,11,0.024809918109686933,0.11890892099111844,0.9794687040455088,False,False
