pair,band,band_idx,groupA,groupB,comparison,symbol,test,stat,p_uncorrected,meanA,semA,nA,meanB,semB,nB,shapiro_p_A,shapiro_p_B,p_corrected,significant_corrected,significant_uncorrected
A1_L–A1_R,$\delta$,0,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Welch t-test,0.2522085119767488,0.8041170442318649,0.10222180027256433,0.057575438925642375,11,0.085510488945117,0.03279395472866122,11,0.191379956280786,0.08196146239659628,0.9193875015267932,False,False
A1_L–A1_R,$\theta$,1,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Mann–Whitney,105.0,0.003861490663333421,0.3420969638727072,0.06599035703781411,11,0.0734592523628366,0.04165816340518271,11,0.2407677421824023,0.00044540968580756375,0.20359000255581602,False,True
A1_L–A1_R,$\alpha$,2,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Mann–Whitney,88.0,0.07623611561456438,0.4274346173712388,0.1007289400742127,11,0.19730502195708396,0.07514021919875241,11,0.07263369021230201,0.01646780355670821,0.4447106744182922,False,False
A1_L–A1_R,$\beta$,3,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Welch t-test,0.928213874756702,0.36469214485878265,0.07793017489428058,0.026201674242973087,11,0.04617571516607796,0.021995812292885854,11,0.7378353562040378,0.20723407275388975,0.6899581118949942,False,False
A1_L–A1_R,$\gamma$,4,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Mann–Whitney,61.0,1.0,0.030768400181551234,0.015145169859448799,11,0.028998748177396082,0.015051331369679566,11,0.008623816299630443,0.00039666135822154474,1.0,False,False
A1_L–A1_R,$\delta$,0,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Welch t-test,2.567577398454419,0.021243897087771774,0.19176210636212032,0.042627966280520374,11,0.06780610728288063,0.022661978508438665,11,0.102073736069533,0.5296067354091663,0.8492840289097786,False,True
A1_L–A1_R,$\theta$,1,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Mann–Whitney,61.0,1.0,0.24237183684523195,0.0835959327280578,11,0.20245976938436794,0.05325978788651938,11,0.029934472319640124,0.2991464670043067,1.0,False,False
A1_L–A1_R,$\alpha$,2,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Mann–Whitney,50.0,0.5114059218501164,0.27432401855428623,0.0970414711374101,11,0.2981580689453282,0.07259304297260155,11,0.015914807363003537,0.35954350223847675,0.9100680927698735,False,False
A1_L–A1_R,$\beta$,3,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Mann–Whitney,65.0,0.792812616632073,0.10851612302554635,0.04694678299056029,11,0.05491879408230262,0.020376168142299752,11,0.040387251614236605,0.05317292782535178,0.9758944881110359,False,False
A1_L–A1_R,$\gamma$,4,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Mann–Whitney,55.0,0.7426659029196823,0.021642916128411672,0.007635638971004495,11,0.03379720297240038,0.011591231848607315,11,0.895231042439993,0.018832108980421303,0.9758944881110359,False,False
A1_L–A1_R,$\delta$,0,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Welch t-test,-1.2498908567045395,0.22697860552940372,0.10222180027256433,0.057575438925642375,11,0.19176210636212032,0.042627966280520374,11,0.191379956280786,0.102073736069533,0.6276185107114057,False,False
A1_L–A1_R,$\theta$,1,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Mann–Whitney,81.0,0.18908180596451618,0.3420969638727072,0.06599035703781411,11,0.24237183684523195,0.0835959327280578,11,0.2407677421824023,0.029934472319640124,0.5882545074451614,False,False
A1_L–A1_R,$\alpha$,2,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Mann–Whitney,74.0,0.39330163935061535,0.4274346173712388,0.1007289400742127,11,0.27432401855428623,0.0970414711374101,11,0.07263369021230201,0.015914807363003537,0.7647531876261966,False,False
A1_L–A1_R,$\beta$,3,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Mann–Whitney,63.0,0.8955142436987509,0.07793017489428058,0.026201674242973087,11,0.10851612302554635,0.04694678299056029,11,0.7378353562040378,0.040387251614236605,0.9607046844258521,False,False
A1_L–A1_R,$\gamma$,4,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Mann–Whitney,60.0,1.0,0.030768400181551234,0.015145169859448799,11,0.021642916128411672,0.007635638971004495,11,0.008623816299630443,0.895231042439993,1.0,False,False
A1_L–A1_R,$\delta$,0,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Welch t-test,0.4441376811736938,0.6623021355702754,0.085510488945117,0.03279395472866122,11,0.06780610728288063,0.022661978508438665,11,0.08196146239659628,0.5296067354091663,0.9628692552249887,False,False
A1_L–A1_R,$\theta$,1,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Mann–Whitney,29.0,0.04178899680298453,0.0734592523628366,0.04165816340518271,11,0.20245976938436794,0.05325978788651938,11,0.00044540968580756375,0.2991464670043067,0.9628692552249887,False,True
A1_L–A1_R,$\alpha$,2,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Mann–Whitney,42.0,0.23721752775378102,0.19730502195708396,0.07514021919875241,11,0.2981580689453282,0.07259304297260155,11,0.01646780355670821,0.35954350223847675,0.9628692552249887,False,False
