method,edge,band,term,estimate,ci_lower,ci_upper,std_error,z_value,p_value,n_subjects,p_fdr,significant_fdr
dpli,ACA_R–PCA_R,alpha,genotype[T.3xTg],-0.008276078967000921,-0.09457727069799958,0.07802511276399775,0.04403202936979019,-0.18795588314807568,0.8509112348858341,44,0.9914319562954065,False
dpli,ACA_R–PCA_R,alpha,interaction_kind[T.with mouse cup],-0.013398200067497897,-0.04300978050333605,0.016213380368340254,0.015108226819171434,-0.8868148610594317,0.37517858524504666,44,0.4689732315563083,False
dpli,ACA_R–PCA_R,alpha,sex[T.m],0.015461690101260216,-0.07083950162973845,0.1017628818322589,0.0440320293697902,0.3511464341425126,0.725478493737292,44,0.8541081338125069,False
dpli,ACA_R–PCA_R,alpha,genotype[T.3xTg]:interaction_kind[T.with mouse cup],-0.01577822055541421,-0.057655319211078304,0.026098878100249884,0.021366259271081156,-0.7384643402118473,0.46023232905645883,44,0.5752904113205735,False
dpli,ACA_R–PCA_R,alpha,genotype[T.3xTg]:sex[T.m],0.03880024181791932,-0.08324807397701975,0.16084855761285838,0.062270693113567706,0.623089930076038,0.5332254267070906,44,0.8287267470108968,False
dpli,ACA_R–PCA_R,alpha,interaction_kind[T.with mouse cup]:sex[T.m],0.00011723187765154756,-0.04175986677801255,0.04199433053331565,0.02136625927108116,0.005486775956623289,0.9956222081409962,44,0.9956222081409962,False
dpli,ACA_R–PCA_R,alpha,genotype[T.3xTg]:interaction_kind[T.with mouse cup]:sex[T.m],0.03821740825398368,-0.021005752617692573,0.09744056912565993,0.030216453638342845,1.2647880095858806,0.20594733075298288,44,0.5148683268824572,False
dpli,ACA_R–PCA_R,beta,genotype[T.3xTg],-0.00041083218889161424,-0.0753937948411639,0.07457213046338068,0.03825731658526806,-0.010738656695274218,0.9914319562954065,44,0.9914319562954065,False
dpli,ACA_R–PCA_R,beta,interaction_kind[T.with mouse cup],0.02203626156102122,-0.011638999956796767,0.05571152307883921,0.017181571591847685,1.2825521485751041,0.19964902382920102,44,0.3327483730486684,False
dpli,ACA_R–PCA_R,beta,sex[T.m],0.050614834253057926,-0.024368128399214366,0.1255977969053302,0.03825731658526806,1.3230105708080016,0.1858318625013088,44,0.8541081338125069,False
