method,edge,band,term,estimate,ci_lower,ci_upper,std_error,z_value,p_value,n_subjects,p_fdr,significant_fdr
wPLI2-debiased,ACA_R–PCA_R,alpha,genotype[T.3xTg],-0.032188615125136426,-0.24907905046526724,0.18470182021499437,0.11066041878878127,-0.29087740203274653,0.771145084954526,44,0.9639313561931575,False
wPLI2-debiased,ACA_R–PCA_R,alpha,interaction_kind[T.with mouse cup],-0.050055573428952234,-0.12944093951037713,0.029329792652472673,0.040503482057632975,-1.235833831711739,0.21652033654408154,44,0.5413008413602038,False
wPLI2-debiased,ACA_R–PCA_R,alpha,sex[T.m],-0.0033854511623724612,-0.22027588650250327,0.21350498417775834,0.11066041878878127,-0.03059315335535019,0.9755940024266243,44,0.9755940024266243,False
wPLI2-debiased,ACA_R–PCA_R,alpha,genotype[T.3xTg]:interaction_kind[T.with mouse cup],-0.02291428931421318,-0.13518215068051745,0.08935357205209107,0.0572805736492399,-0.4000359607871568,0.6891300304015888,44,0.6891300304015888,False
wPLI2-debiased,ACA_R–PCA_R,alpha,genotype[T.3xTg]:sex[T.m],0.1453047717338054,-0.16142462347321224,0.45203416694082305,0.15649746506898085,0.9284800342916613,0.3531586197808071,44,0.44144827472600884,False
wPLI2-debiased,ACA_R–PCA_R,alpha,interaction_kind[T.with mouse cup]:sex[T.m],0.03923054437578106,-0.07303731699052321,0.1514984057420853,0.0572805736492399,0.6848839296898633,0.4934171675872141,44,0.8888880617011191,False
wPLI2-debiased,ACA_R–PCA_R,alpha,genotype[T.3xTg]:interaction_kind[T.with mouse cup]:sex[T.m],0.033146515325526205,-0.12562421683732375,0.19191724748837616,0.08100696411526602,0.4091810585366652,0.6824067937664328,44,0.7529425077872461,False
wPLI2-debiased,ACA_R–PCA_R,beta,genotype[T.3xTg],0.003993947397630417,-0.20133350877532233,0.20932140357058318,0.1047608312155476,0.03812443402069602,0.969588469937551,44,0.969588469937551,False
wPLI2-debiased,ACA_R–PCA_R,beta,interaction_kind[T.with mouse cup],0.013223708316371607,-0.08552766070685373,0.11197507733959695,0.050384277365381994,0.2624570403277699,0.7929691015710054,44,0.8935282877615868,False
wPLI2-debiased,ACA_R–PCA_R,beta,sex[T.m],0.0916328039200055,-0.11369465225294725,0.2969602600929583,0.1047608312155476,0.8746857280224236,0.3817449277403304,44,0.6362415462338841,False
wPLI2-debiased,ACA_R–PCA_R,beta,genotype[T.3xTg]:interaction_kind[T.with mouse cup],-0.07501287839507077,-0.21466840377062646,0.06464264698048493,0.071254128380491,-1.0527513296423805,0.2924549766636799,44,0.5802123275555107,False
