,subject_id,channel,band,psd_ratio,genotype
0,b1c1.1,A1_L,$\alpha$,1.1621591016226631,3xTg
1,b1c1.1,A1_L,$\beta$,0.9999048716240483,3xTg
2,b1c1.1,A1_L,$\delta$,0.944003357461432,3xTg
3,b1c1.1,A1_L,$\gamma$,1.0316596876849717,3xTg
4,b1c1.1,A1_L,$\theta$,1.0220322478026567,3xTg
5,b1c1.1,A1_R,$\alpha$,1.1154089762574266,3xTg
6,b1c1.1,A1_R,$\beta$,1.0612655601880912,3xTg
7,b1c1.1,A1_R,$\delta$,0.9376909503412901,3xTg
8,b1c1.1,A1_R,$\gamma$,1.1767762502839987,3xTg
9,b1c1.1,A1_R,$\theta$,0.8821456770486921,3xTg
10,b1c1.1,ACA_R,$\alpha$,1.0842829413134354,3xTg
11,b1c1.1,ACA_R,$\beta$,0.9288576272260661,3xTg
12,b1c1.1,ACA_R,$\delta$,1.078011478251719,3xTg
13,b1c1.1,ACA_R,$\gamma$,0.9639681223426424,3xTg
14,b1c1.1,ACA_R,$\theta$,1.0828003328709976,3xTg
15,b1c1.1,AI_L,$\alpha$,1.0894258920605426,3xTg
16,b1c1.1,AI_L,$\beta$,1.0149012789725536,3xTg
17,b1c1.1,AI_L,$\delta$,1.155349903483102,3xTg
18,b1c1.1,AI_L,$\gamma$,1.0695734627305107,3xTg
19,b1c1.1,AI_L,$\theta$,1.0293852971499375,3xTg
20,b1c1.1,AI_R,$\alpha$,1.087385132822209,3xTg
21,b1c1.1,AI_R,$\beta$,0.9728397612061263,3xTg
22,b1c1.1,AI_R,$\delta$,1.1092970145233803,3xTg
23,b1c1.1,AI_R,$\gamma$,1.057749280646468,3xTg
24,b1c1.1,AI_R,$\theta$,1.04537219435388,3xTg
25,b1c1.1,PCA_R,$\alpha$,1.0795872575282803,3xTg
26,b1c1.1,PCA_R,$\beta$,0.9657278982715144,3xTg
27,b1c1.1,PCA_R,$\delta$,1.054016765473351,3xTg
28,b1c1.1,PCA_R,$\gamma$,0.9832400440723794,3xTg
29,b1c1.1,PCA_R,$\theta$,1.0420818212644898,3xTg
30,b1c1.1,PMC_R,$\alpha$,1.1517961495561893,3xTg
31,b1c1.1,PMC_R,$\beta$,1.0478104735992022,3xTg
32,b1c1.1,PMC_R,$\delta$,1.090767187593675,3xTg
33,b1c1.1,PMC_R,$\gamma$,1.0966262809543859,3xTg
34,b1c1.1,PMC_R,$\theta$,1.1391186979060555,3xTg
35,b1c1.1,S1_L,$\alpha$,1.1253026301441185,3xTg
36,b1c1.1,S1_L,$\beta$,0.9918361078055876,3xTg
37,b1c1.1,S1_L,$\delta$,0.9603678957231523,3xTg
38,b1c1.1,S1_L,$\gamma$,0.9758176234122713,3xTg
39,b1c1.1,S1_L,$\theta$,1.0351149919659832,3xTg
40,b1c1.2,A1_L,$\alpha$,0.8385111062162348,3xTg
41,b1c1.2,A1_L,$\beta$,0.9356987952719082,3xTg
42,b1c1.2,A1_L,$\delta$,3.185754110830491,3xTg
43,b1c1.2,A1_L,$\gamma$,1.064824781294001,3xTg
44,b1c1.2,A1_L,$\theta$,0.9958475098915885,3xTg
45,b1c1.2,A1_R,$\alpha$,1.1209431341489784,3xTg
46,b1c1.2,A1_R,$\beta$,0.736271123677039,3xTg
47,b1c1.2,A1_R,$\delta$,3.1301508693125193,3xTg
48,b1c1.2,A1_R,$\gamma$,0.9541633449788985,3xTg
49,b1c1.2,A1_R,$\theta$,1.4841926970413928,3xTg
50,b1c1.2,ACA_R,$\alpha$,1.0903209446369968,3xTg
51,b1c1.2,ACA_R,$\beta$,0.9868868578481615,3xTg
52,b1c1.2,ACA_R,$\delta$,0.5938443602929975,3xTg
53,b1c1.2,ACA_R,$\gamma$,1.1129195780682377,3xTg
54,b1c1.2,ACA_R,$\theta$,0.8255490374168934,3xTg
55,b1c1.2,AI_L,$\alpha$,1.0612798826606844,3xTg
56,b1c1.2,AI_L,$\beta$,1.0150063147994886,3xTg
57,b1c1.2,AI_L,$\delta$,1.1055956301889542,3xTg
58,b1c1.2,AI_L,$\gamma$,1.3060218834568083,3xTg
59,b1c1.2,AI_L,$\theta$,1.0142975986667908,3xTg
60,b1c1.2,AI_R,$\alpha$,1.0989400438222283,3xTg
61,b1c1.2,AI_R,$\beta$,0.8846360306665698,3xTg
62,b1c1.2,AI_R,$\delta$,0.7442593843288972,3xTg
63,b1c1.2,AI_R,$\gamma$,0.992900446496449,3xTg
64,b1c1.2,AI_R,$\theta$,0.772432122131181,3xTg
65,b1c1.2,PCA_R,$\alpha$,0.9859460586201552,3xTg
66,b1c1.2,PCA_R,$\beta$,0.8587161711214936,3xTg
67,b1c1.2,PCA_R,$\delta$,0.5885086316041187,3xTg
68,b1c1.2,PCA_R,$\gamma$,0.9921985660578626,3xTg
69,b1c1.2,PCA_R,$\theta$,0.7368371153329011,3xTg
70,b1c1.2,PMC_R,$\alpha$,1.2440278829772426,3xTg
71,b1c1.2,PMC_R,$\beta$,1.2693586426508947,3xTg
72,b1c1.2,PMC_R,$\delta$,1.0704020760507433,3xTg
73,b1c1.2,PMC_R,$\gamma$,1.078361515763878,3xTg
74,b1c1.2,PMC_R,$\theta$,1.1618938270990615,3xTg
75,b1c1.2,S1_L,$\alpha$,0.9001656443644791,3xTg
76,b1c1.2,S1_L,$\beta$,0.6314543285293138,3xTg
77,b1c1.2,S1_L,$\delta$,2.1070422327061986,3xTg
78,b1c1.2,S1_L,$\gamma$,0.7721181342046647,3xTg
79,b1c1.2,S1_L,$\theta$,1.1966349346576803,3xTg
80,b1c1.3,A1_L,$\alpha$,1.0568399180781893,3xTg
81,b1c1.3,A1_L,$\beta$,1.0439095671557583,3xTg
82,b1c1.3,A1_L,$\delta$,1.5135798548566648,3xTg
83,b1c1.3,A1_L,$\gamma$,0.9543619314321928,3xTg
84,b1c1.3,A1_L,$\theta$,1.2354987380874831,3xTg
85,b1c1.3,A1_R,$\alpha$,1.0191594054499338,3xTg
86,b1c1.3,A1_R,$\beta$,0.9530730093326065,3xTg
87,b1c1.3,A1_R,$\delta$,1.5738901603674822,3xTg
88,b1c1.3,A1_R,$\gamma$,0.9866518926120644,3xTg
89,b1c1.3,A1_R,$\theta$,1.130973195307049,3xTg
90,b1c1.3,ACA_R,$\alpha$,1.0173737726987806,3xTg
91,b1c1.3,ACA_R,$\beta$,0.9916609686436243,3xTg
92,b1c1.3,ACA_R,$\delta$,1.1172161147122777,3xTg
93,b1c1.3,ACA_R,$\gamma$,0.9461283887096327,3xTg
94,b1c1.3,ACA_R,$\theta$,0.9619142215916876,3xTg
95,b1c1.3,AI_L,$\alpha$,1.011934325492137,3xTg
96,b1c1.3,AI_L,$\beta$,0.9255870534704104,3xTg
97,b1c1.3,AI_L,$\delta$,1.09305203454609,3xTg
98,b1c1.3,AI_L,$\gamma$,0.9680656012861442,3xTg
99,b1c1.3,AI_L,$\theta$,0.9842568078214115,3xTg
100,b1c1.3,AI_R,$\alpha$,0.9647223980561519,3xTg
101,b1c1.3,AI_R,$\beta$,0.9166638583235271,3xTg
102,b1c1.3,AI_R,$\delta$,1.1426093321543604,3xTg
103,b1c1.3,AI_R,$\gamma$,0.9473888443676474,3xTg
104,b1c1.3,AI_R,$\theta$,0.9323196421449197,3xTg
105,b1c1.3,PCA_R,$\alpha$,1.0204208230162108,3xTg
106,b1c1.3,PCA_R,$\beta$,0.9808307531539027,3xTg
107,b1c1.3,PCA_R,$\delta$,1.1366136724935478,3xTg
108,b1c1.3,PCA_R,$\gamma$,0.9890827399052424,3xTg
109,b1c1.3,PCA_R,$\theta$,0.9840872919953336,3xTg
110,b1c1.3,PMC_R,$\alpha$,1.022457895539376,3xTg
111,b1c1.3,PMC_R,$\beta$,0.995723848530055,3xTg
112,b1c1.3,PMC_R,$\delta$,0.981791309362703,3xTg
113,b1c1.3,PMC_R,$\gamma$,0.9750141950167146,3xTg
114,b1c1.3,PMC_R,$\theta$,0.8800642493160431,3xTg
115,b1c1.3,S1_L,$\alpha$,1.0031076250842932,3xTg
116,b1c1.3,S1_L,$\beta$,1.0478926711515768,3xTg
117,b1c1.3,S1_L,$\delta$,1.4251507680227047,3xTg
118,b1c1.3,S1_L,$\gamma$,1.0162249176876887,3xTg
119,b1c1.3,S1_L,$\theta$,1.068428319538048,3xTg
120,b1c1.4,A1_L,$\alpha$,0.9035339760308041,3xTg
121,b1c1.4,A1_L,$\beta$,0.7946878384178657,3xTg
122,b1c1.4,A1_L,$\delta$,0.7192991544949319,3xTg
123,b1c1.4,A1_L,$\gamma$,1.0112553831135243,3xTg
124,b1c1.4,A1_L,$\theta$,0.8794878009875774,3xTg
125,b1c1.4,A1_R,$\alpha$,1.3446431384270592,3xTg
126,b1c1.4,A1_R,$\beta$,1.1857752951175244,3xTg
127,b1c1.4,A1_R,$\delta$,0.7085983498103116,3xTg
128,b1c1.4,A1_R,$\gamma$,1.0444085955854672,3xTg
129,b1c1.4,A1_R,$\theta$,1.046800643418384,3xTg
130,b1c1.4,ACA_R,$\alpha$,0.9628408508466666,3xTg
