,subject_id,channel,band,psd_ratio,genotype
0,b1c3.1,A1_L,$\alpha$,0.9658316010504209,3xTg
1,b1c3.1,A1_L,$\beta$,1.1546953506051156,3xTg
2,b1c3.1,A1_L,$\delta$,1.0497145710995914,3xTg
3,b1c3.1,A1_L,$\gamma$,1.201630775765772,3xTg
4,b1c3.1,A1_L,$\theta$,0.8392500502935547,3xTg
5,b1c3.1,A1_R,$\alpha$,0.918512521439877,3xTg
6,b1c3.1,A1_R,$\beta$,1.0943370539566708,3xTg
7,b1c3.1,A1_R,$\delta$,1.0413504802302445,3xTg
8,b1c3.1,A1_R,$\gamma$,1.1730426040312094,3xTg
9,b1c3.1,A1_R,$\theta$,0.8329422891820076,3xTg
10,b1c3.1,ACA_R,$\alpha$,0.981059581347354,3xTg
11,b1c3.1,ACA_R,$\beta$,1.158258182824626,3xTg
12,b1c3.1,ACA_R,$\delta$,1.040522441850744,3xTg
13,b1c3.1,ACA_R,$\gamma$,1.2043220191713442,3xTg
14,b1c3.1,ACA_R,$\theta$,0.8459342677173628,3xTg
15,b1c3.1,AI_L,$\alpha$,1.0161649165091888,3xTg
16,b1c3.1,AI_L,$\beta$,1.1150893041913081,3xTg
17,b1c3.1,AI_L,$\delta$,1.183393270104551,3xTg
18,b1c3.1,AI_L,$\gamma$,1.2125224736502136,3xTg
19,b1c3.1,AI_L,$\theta$,0.8939819632386031,3xTg
20,b1c3.1,AI_R,$\alpha$,1.0400122534178298,3xTg
21,b1c3.1,AI_R,$\beta$,1.181319339958992,3xTg
22,b1c3.1,AI_R,$\delta$,1.1718218846967758,3xTg
23,b1c3.1,AI_R,$\gamma$,1.119483507599766,3xTg
24,b1c3.1,AI_R,$\theta$,0.8700125949015496,3xTg
25,b1c3.1,PCA_R,$\alpha$,0.9870093521784751,3xTg
26,b1c3.1,PCA_R,$\beta$,1.1428440918673606,3xTg
27,b1c3.1,PCA_R,$\delta$,1.0389056234750103,3xTg
28,b1c3.1,PCA_R,$\gamma$,1.1925804961969053,3xTg
29,b1c3.1,PCA_R,$\theta$,0.8354666154668557,3xTg
30,b1c3.1,PMC_R,$\alpha$,0.9622396080225407,3xTg
31,b1c3.1,PMC_R,$\beta$,1.1581197250773545,3xTg
32,b1c3.1,PMC_R,$\delta$,1.043236159888184,3xTg
33,b1c3.1,PMC_R,$\gamma$,1.235677900870628,3xTg
34,b1c3.1,PMC_R,$\theta$,0.838736985554881,3xTg
35,b1c3.1,S1_L,$\alpha$,0.9413497599957903,3xTg
36,b1c3.1,S1_L,$\beta$,1.1043606272585273,3xTg
37,b1c3.1,S1_L,$\delta$,1.0350944854354356,3xTg
38,b1c3.1,S1_L,$\gamma$,1.1410266036271897,3xTg
39,b1c3.1,S1_L,$\theta$,0.8340145179862481,3xTg
40,b1c3.2,A1_L,$\alpha$,0.5150027785377145,3xTg
41,b1c3.2,A1_L,$\beta$,0.6400032931878317,3xTg
42,b1c3.2,A1_L,$\delta$,0.7492424731889028,3xTg
43,b1c3.2,A1_L,$\gamma$,0.8383321907278125,3xTg
44,b1c3.2,A1_L,$\theta$,0.5810257839420261,3xTg
45,b1c3.2,A1_R,$\alpha$,0.5086607348110781,3xTg
46,b1c3.2,A1_R,$\beta$,0.5933202020541133,3xTg
47,b1c3.2,A1_R,$\delta$,0.7635775337866576,3xTg
48,b1c3.2,A1_R,$\gamma$,0.8216956882434812,3xTg
49,b1c3.2,A1_R,$\theta$,0.5783541896756481,3xTg
50,b1c3.2,ACA_R,$\alpha$,0.5474155783924631,3xTg
51,b1c3.2,ACA_R,$\beta$,0.6080449424129998,3xTg
52,b1c3.2,ACA_R,$\delta$,0.7527482915326784,3xTg
53,b1c3.2,ACA_R,$\gamma$,0.846772062501682,3xTg
54,b1c3.2,ACA_R,$\theta$,0.6014772385176999,3xTg
55,b1c3.2,AI_L,$\alpha$,0.5043343876432325,3xTg
56,b1c3.2,AI_L,$\beta$,0.6221146567755302,3xTg
57,b1c3.2,AI_L,$\delta$,0.6763180974241639,3xTg
58,b1c3.2,AI_L,$\gamma$,0.8430234293608315,3xTg
59,b1c3.2,AI_L,$\theta$,0.6204637996373912,3xTg
60,b1c3.2,AI_R,$\alpha$,0.47754729216081654,3xTg
61,b1c3.2,AI_R,$\beta$,0.629004478129617,3xTg
62,b1c3.2,AI_R,$\delta$,0.632948794374411,3xTg
63,b1c3.2,AI_R,$\gamma$,0.8963855778425863,3xTg
64,b1c3.2,AI_R,$\theta$,0.5436976482834563,3xTg
65,b1c3.2,PCA_R,$\alpha$,0.6221105942900604,3xTg
66,b1c3.2,PCA_R,$\beta$,0.7251550014271836,3xTg
67,b1c3.2,PCA_R,$\delta$,0.7490618814023643,3xTg
68,b1c3.2,PCA_R,$\gamma$,0.8888054449160229,3xTg
69,b1c3.2,PCA_R,$\theta$,0.6250759205821035,3xTg
