analysis,channel,band,n_ntg,n_3xtg,mean_ntg,sd_ntg,mean_3xtg,sd_3xtg,difference,stat,p_value,p_fdr,significant_fdr
Females only,ACA_R,$\delta$,11,11,1.1883176723173612,0.6254741739741689,1.0136029645740843,0.4202141560476211,0.1747147077432769,0.7690045786774949,0.4508771927548576,0.5578223295793158,False
Females only,ACA_R,$\theta$,11,11,1.236826890328212,0.4686145223281233,1.0490765386973406,0.5280989924458189,0.1877503516308714,0.8819616410962463,0.38827480406996817,0.5578223295793158,False
Females only,ACA_R,$\alpha$,11,11,1.1939818994544806,0.46762269790697625,1.0459196440845733,0.545238366536898,0.14806225536990736,0.6836509580891813,0.5020400966213842,0.5578223295793158,False
Females only,ACA_R,$\beta$,11,11,1.10582073212468,0.2975282057262935,0.9254394985569021,0.3792194857565417,0.1803812335677779,1.2411795942239148,0.2289007064152121,0.5578223295793158,False
Females only,ACA_R,$\gamma$,11,11,1.0335831845832473,0.19928930157480407,1.0205986426452744,0.14567821835822586,0.012984541937972827,0.17445264672427224,0.863263594252051,0.863263594252051,False
Females only,PCA_R,$\delta$,11,11,1.274988680890491,0.6947933607098129,0.9860399735327128,0.4138278923470102,0.28894870735777833,1.1850347893773265,0.24989435176184824,0.5578223295793158,False
Females only,PCA_R,$\theta$,11,11,1.2627730550315528,0.6331893933753031,1.009173010244204,0.4485400280832339,0.25360004478734877,1.0839399839430206,0.29128608087079033,0.5578223295793158,False
Females only,PCA_R,$\alpha$,11,11,1.1870000205140252,0.5599082233706599,0.9845263445423292,0.36098906881558995,0.20247367597169597,1.0080131756217339,0.3254887793965773,0.5578223295793158,False
Females only,PCA_R,$\beta$,11,11,1.109696756377302,0.33300946983629437,0.8661812758228354,0.24994014441771886,0.24351548055446648,1.9397319808160087,0.06664699527398986,0.5578223295793158,False
Females only,PCA_R,$\gamma$,11,11,1.0610320904703223,0.23036678944461245,0.9971108142458059,0.13264254010398,0.06392127622451638,0.7975281994224068,0.4345115190790607,0.5578223295793158,False
