analysis,channel,band,n_ntg,n_3xtg,mean_ntg,sd_ntg,mean_3xtg,sd_3xtg,difference,stat,p_value,p_fdr,significant_fdr
Males only,ACA_R,$\delta$,11,11,1.4627511290457642,1.0101595695473435,1.003046930861248,0.3628160482038575,0.45970419818451624,1.4204883310759355,0.170868431846167,0.28870546573280315,False
Males only,ACA_R,$\theta$,11,11,1.3658010869509531,1.0438927030011704,1.0043898158714393,0.18123402270351677,0.3614112710795139,1.1313414250525164,0.27129523171802555,0.28870546573280315,False
Males only,ACA_R,$\alpha$,11,11,1.4202585305418582,1.0323069776416842,1.0715924952802691,0.15987701552027597,0.3486660352615891,1.1070064579731236,0.2814284421491044,0.28870546573280315,False
Males only,ACA_R,$\beta$,11,11,1.1941160563464488,0.4958251871853619,1.0187531208357026,0.1972709909969929,0.17536293551074622,1.0899230355053369,0.28870546573280315,0.28870546573280315,False
Males only,ACA_R,$\gamma$,11,11,1.0732401681711246,0.16436858903492535,0.998891435499204,0.056174136388451264,0.07434873267192055,1.4195927899219412,0.17112579956376914,0.28870546573280315,False
Males only,PCA_R,$\delta$,11,11,1.6994961548449525,1.397306658249602,0.9407457252443302,0.3149366555858182,0.7587504296006223,1.7568858703116332,0.09423740247571807,0.28870546573280315,False
Males only,PCA_R,$\theta$,11,11,1.3450800763808959,1.009739955456302,0.9384082718333214,0.1791320011955939,0.40667180454757446,1.3152311841976592,0.20331263707827404,0.28870546573280315,False
Males only,PCA_R,$\alpha$,11,11,1.3162547760291745,0.8334632699576218,1.0172146173654317,0.1111834055255708,0.2990401586637428,1.1795304479434143,0.2520281830977411,0.28870546573280315,False
Males only,PCA_R,$\beta$,11,11,1.1564997992419366,0.3597131796448194,0.9939918838634637,0.16233430302149512,0.16250791537847287,1.3657223431798498,0.18718971794524922,0.28870546573280315,False
Males only,PCA_R,$\gamma$,11,11,1.0390628209229489,0.1093790860443979,0.9989549834736899,0.038901576085402324,0.04010783744925894,1.1458482030502344,0.26538388541427016,0.28870546573280315,False
