,channel,band,term,estimate,ci_lower,ci_upper,p_value,p_fdr
1,ACA_R,$\delta$,genotype[T.Ntg],-0.009115747972588985,-0.026341713307378382,0.008110217362200411,0.29964897481919006,0.608498788411131
2,ACA_R,$\delta$,event_kind[T.without mouse cup],0.0009528822491434201,-0.005114127963947666,0.007019892462234506,0.7582107975696717,0.8561324933375718
3,ACA_R,$\delta$,sex[T.m],-0.03033008555843915,-0.04755605089322855,-0.013104120223649752,0.0005586254270898013,0.009775944974071523
4,ACA_R,$\delta$,genotype[T.Ntg]:event_kind[T.without mouse cup],-0.003145977294526486,-0.011726025420935987,0.005434070831883015,0.472360145655783,0.6636714571920103
5,ACA_R,$\delta$,genotype[T.Ntg]:sex[T.m],0.027373313736422333,0.0030121199349943846,0.05173450753785028,0.027643973661194584,0.16125651302363508
6,ACA_R,$\delta$,event_kind[T.without mouse cup]:sex[T.m],0.003133978527905424,-0.005446069598504075,0.011714026654314924,0.4740510408514359,0.6636714571920103
7,ACA_R,$\delta$,genotype[T.Ntg]:event_kind[T.without mouse cup]:sex[T.m],-0.0033892229246664054,-0.015523243350848587,0.008744797501515777,0.5840704396592962,0.7172794873008901
10,ACA_R,$\theta$,genotype[T.Ntg],0.002335583344056751,-0.002095578684845218,0.0067667453729587206,0.30157550496895613,0.608498788411131
11,ACA_R,$\theta$,event_kind[T.without mouse cup],-0.002266270706265464,-0.005908041250231959,0.0013754998377010306,0.22258472057131107,0.5564618014282776
12,ACA_R,$\theta$,sex[T.m],0.0017411959673125797,-0.002689966061589389,0.006172357996214549,0.4412079814265124,0.6571182702096994
13,ACA_R,$\theta$,genotype[T.Ntg]:event_kind[T.without mouse cup],0.0005842320820596085,-0.004566009212268652,0.005734473376387869,0.8240538723811619,0.8644223228015578
14,ACA_R,$\theta$,genotype[T.Ntg]:sex[T.m],-0.004727484837403204,-0.010994094275749048,0.0015391246009426414,0.13925189136229885,0.4238101041461269
15,ACA_R,$\theta$,event_kind[T.without mouse cup]:sex[T.m],0.0017262047364606083,-0.0034240365578676523,0.0068764460307888685,0.5112320326290625,0.688196967000661
16,ACA_R,$\theta$,genotype[T.Ntg]:event_kind[T.without mouse cup]:sex[T.m],0.0025791102385309193,-0.00470443084940207,0.00986265132646391,0.4876662230257399,0.6693457963098391
19,ACA_R,$\alpha$,genotype[T.Ntg],0.001919816533762707,-0.0028217346847588367,0.006661367752284251,0.42744353544828706,0.6504575539430455
20,ACA_R,$\alpha$,event_kind[T.without mouse cup],-0.00020200355719662773,-0.0025180048210692004,0.0021139977066759446,0.8642633251396262,0.8767888805764323
21,ACA_R,$\alpha$,sex[T.m],0.007474650358352055,0.002733099139830511,0.012216201576873599,0.0020034813314148943,0.020988865291092368
22,ACA_R,$\alpha$,genotype[T.Ntg]:event_kind[T.without mouse cup],0.0003434629399096715,-0.002931857457932146,0.003618783337751489,0.8371584455549961,0.8644223228015578
23,ACA_R,$\alpha$,genotype[T.Ntg]:sex[T.m],-0.00615032768107121,-0.012855893720991052,0.0005552383588486309,0.07222870706794964,0.2974123232209691
24,ACA_R,$\alpha$,event_kind[T.without mouse cup]:sex[T.m],-0.0022066163076870774,-0.0054819367055288955,0.0010687040901547402,0.18668566774825823,0.5206872647091384
25,ACA_R,$\alpha$,genotype[T.Ntg]:event_kind[T.without mouse cup]:sex[T.m],0.002028844729615455,-0.0026031577981296813,0.006660847257360591,0.39062972523209505,0.6309873833585435
28,ACA_R,$\beta$,genotype[T.Ntg],0.0006677168622819543,-0.000870873990424503,0.0022063077149884116,0.39500039377928653,0.6309873833585435
