pair,band,band_idx,groupA,groupB,comparison,symbol,test,stat,p_uncorrected,meanA,semA,nA,meanB,semB,nB,shapiro_p_A,shapiro_p_B,p_corrected,significant_corrected,significant_uncorrected
ACA_R–PCA_R,$\delta$,0,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Welch t-test,-0.1198341565412635,0.9058103182251334,0.5718518801203227,0.042283189505543425,11,0.5789731336099413,0.04175608165519075,11,0.5165306472645861,0.957374713427819,0.9058103182251334,False,False
ACA_R–PCA_R,$\theta$,1,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Mann–Whitney,73.0,0.430708328947102,0.8409908472892241,0.03416260328763839,11,0.8205032201747187,0.02832547798417906,11,0.013508850333108493,0.456686502827854,0.9058103182251334,False,False
ACA_R–PCA_R,$\alpha$,2,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Mann–Whitney,68.0,0.6456706204799239,0.9238821839480967,0.02732855803023448,11,0.9051851535811832,0.025768381780522643,11,0.0015645807560591425,0.4067981415811919,0.9058103182251334,False,False
ACA_R–PCA_R,$\beta$,3,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Welch t-test,0.3982289763326701,0.6948805586743066,0.8135491958193203,0.0177068868742996,11,0.8022679150316833,0.02211283243572758,11,0.7635516251699227,0.9745382635422687,0.9058103182251334,False,False
ACA_R–PCA_R,$\gamma$,4,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Mann–Whitney,64.0,0.8438314252467704,0.5510496831522569,0.015619062718400014,11,0.5488909533467308,0.02482533704919762,11,0.015553223715090178,0.9609987929698092,0.9058103182251334,False,False
ACA_R–PCA_R,$\delta$,0,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Welch t-test,0.3374158526477848,0.7398276405017803,0.591511262592783,0.041623878558687495,10,0.5737087201733407,0.0324225397231696,11,0.43373861994769,0.8647449652198946,0.8465617148167828,False,False
ACA_R–PCA_R,$\theta$,1,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Mann–Whitney,42.0,0.3787382518865303,0.7817867818920032,0.02387740189811357,10,0.7998378922849736,0.037261789559803415,11,0.014886482479849559,0.2977953250148219,0.8465617148167828,False,False
ACA_R–PCA_R,$\alpha$,2,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Mann–Whitney,39.0,0.2750629920777592,0.8141474249082364,0.042370596244318146,10,0.8742525046614201,0.039373061117543406,11,0.5113585078147551,0.01607831747622509,0.8465617148167828,False,False
ACA_R–PCA_R,$\beta$,3,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Welch t-test,-0.2505667420720092,0.8050012934667428,0.7338422625702937,0.033560276801373974,10,0.744725795597335,0.027574713063532937,11,0.6836266950167845,0.3134255990227366,0.8465617148167828,False,False
ACA_R–PCA_R,$\gamma$,4,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Welch t-test,0.19619561045872155,0.8465617148167828,0.5564553632867547,0.01233049822685493,10,0.5531150865664002,0.011739569855363756,11,0.1986435684218789,0.34804697733500034,0.8465617148167828,False,False
ACA_R–PCA_R,$\delta$,0,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Welch t-test,-0.3313392745458615,0.7440197714813506,0.5718518801203227,0.042283189505543425,11,0.591511262592783,0.041623878558687495,10,0.5165306472645861,0.43373861994769,0.7440197714813506,False,False
ACA_R–PCA_R,$\theta$,1,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Mann–Whitney,82.0,0.062031041815364105,0.8409908472892241,0.03416260328763839,11,0.7817867818920032,0.02387740189811357,10,0.013508850333108493,0.014886482479849559,0.10338506969227351,False,False
ACA_R–PCA_R,$\alpha$,2,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Mann–Whitney,86.5,0.02898699502231814,0.9238821839480967,0.02732855803023448,11,0.8141474249082364,0.042370596244318146,10,0.0015645807560591425,0.5113585078147551,0.10338506969227351,False,True
ACA_R–PCA_R,$\beta$,3,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Welch t-test,2.100589018328199,0.05462408369070975,0.8135491958193203,0.0177068868742996,11,0.7338422625702937,0.033560276801373974,10,0.7635516251699227,0.6836266950167845,0.10338506969227351,False,False
ACA_R–PCA_R,$\gamma$,4,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Mann–Whitney,45.0,0.5035147104262714,0.5510496831522569,0.015619062718400014,11,0.5564553632867547,0.01233049822685493,10,0.015553223715090178,0.1986435684218789,0.6293933880328392,False,False
ACA_R–PCA_R,$\delta$,0,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Welch t-test,0.09958072570754443,0.9217289796981168,0.5789731336099413,0.04175608165519075,11,0.5737087201733407,0.0324225397231696,11,0.957374713427819,0.8647449652198946,0.9217289796981168,False,False
ACA_R–PCA_R,$\theta$,1,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Welch t-test,0.4415130499645001,0.6639142132461469,0.8205032201747187,0.02832547798417906,11,0.7998378922849736,0.037261789559803415,11,0.456686502827854,0.2977953250148219,0.9217289796981168,False,False
