pair,band,band_idx,groupA,groupB,comparison,symbol,test,stat,p_uncorrected,meanA,semA,nA,meanB,semB,nB,shapiro_p_A,shapiro_p_B,p_corrected,significant_corrected,significant_uncorrected
ACA_R–PCA_R,$\delta$,0,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Mann–Whitney,71.0,0.5114059218501164,0.5803290263437506,0.04992456900745752,11,0.570966903492578,0.02840104200859495,11,0.04923373522495819,0.6775749668437205,0.5114059218501164,False,False
ACA_R–PCA_R,$\theta$,1,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Mann–Whitney,82.0,0.16790547565263503,0.842223757730329,0.04430104303040336,11,0.8137304670775038,0.02935103717198821,11,5.038692561683898e-05,0.3798313603113472,0.41976368913158757,False,False
ACA_R–PCA_R,$\alpha$,2,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Mann–Whitney,92.0,0.04178899680298453,0.9334069177239452,0.033590461040117474,11,0.8940431670195769,0.023814765862979807,11,2.685691877045617e-06,0.16076330499245528,0.20894498401492262,False,True
ACA_R–PCA_R,$\beta$,3,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Welch t-test,0.7674615530609133,0.4518516425513588,0.8122341421891845,0.025240023200554434,11,0.7834521821158368,0.02773808796810786,11,0.3066130865959186,0.4198046166079546,0.5114059218501164,False,False
ACA_R–PCA_R,$\gamma$,4,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Mann–Whitney,50.0,0.5114059218501164,0.5462829040522453,0.015009920741793453,11,0.561200851762984,0.019009743533889588,11,0.028835020299776613,0.2526547428788299,0.5114059218501164,False,False
ACA_R–PCA_R,$\delta$,0,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Welch t-test,-2.042631385598394,0.05529815523650422,0.49694072531241684,0.027633056459853672,10,0.5758397627137981,0.026988804852362488,11,0.12718306376564215,0.9421492492971845,0.2764907761825211,False,False
ACA_R–PCA_R,$\theta$,1,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Welch t-test,-0.8078102183665069,0.42919995205119044,0.7467924168901543,0.040856041066802525,10,0.7950955562608576,0.04366056330994583,11,0.3108194057005877,0.07335770252848882,0.7153332534186507,False,False
ACA_R–PCA_R,$\alpha$,2,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Mann–Whitney,40.0,0.3072263700681952,0.8236934443604019,0.04171693624782122,10,0.8634319517515879,0.0399204690752332,11,0.10883278124691771,0.02949118570124912,0.7153332534186507,False,False
ACA_R–PCA_R,$\beta$,3,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Welch t-test,-0.1681606896584912,0.868288980166002,0.7413306238607446,0.03372762247670418,10,0.7488970567036883,0.029782886201880354,11,0.12568730990548713,0.6021014271655538,0.868288980166002,False,False
ACA_R–PCA_R,$\gamma$,4,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Welch t-test,0.571682624042575,0.5747331252557268,0.5643304498084823,0.00892092946032485,10,0.5555499925146674,0.0125026010061593,11,0.8574522002904024,0.6177911137363661,0.7184164065696585,False,False
ACA_R–PCA_R,$\delta$,0,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Mann–Whitney,81.0,0.07254925722048404,0.5803290263437506,0.04992456900745752,11,0.49694072531241684,0.027633056459853672,10,0.04923373522495819,0.12718306376564215,0.11310220386717555,False,False
ACA_R–PCA_R,$\theta$,1,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Mann–Whitney,83.0,0.05280751141611358,0.842223757730329,0.04430104303040336,11,0.7467924168901543,0.040856041066802525,10,5.038692561683898e-05,0.3108194057005877,0.11310220386717555,False,False
ACA_R–PCA_R,$\alpha$,2,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Mann–Whitney,94.0,0.006706275607805576,0.9334069177239452,0.033590461040117474,11,0.8236934443604019,0.04171693624782122,10,2.685691877045617e-06,0.10883278124691771,0.03353137803902788,True,True
ACA_R–PCA_R,$\beta$,3,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Welch t-test,1.6831242065806173,0.11053727069177703,0.8122341421891845,0.025240023200554434,11,0.7413306238607446,0.03372762247670418,10,0.3066130865959186,0.12568730990548713,0.11310220386717555,False,False
ACA_R–PCA_R,$\gamma$,4,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Mann–Whitney,32.0,0.11310220386717555,0.5462829040522453,0.015009920741793453,11,0.5643304498084823,0.00892092946032485,10,0.028835020299776613,0.8574522002904024,0.11310220386717555,False,False
ACA_R–PCA_R,$\delta$,0,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Welch t-test,-0.1243734222954669,0.9022643756591077,0.570966903492578,0.02840104200859495,11,0.5758397627137981,0.026988804852362488,11,0.6775749668437205,0.9421492492971845,0.9476445296225945,False,False
ACA_R–PCA_R,$\theta$,1,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Welch t-test,0.3542139014700839,0.7274093416402767,0.8137304670775038,0.02935103717198821,11,0.7950955562608576,0.04366056330994583,11,0.3798313603113472,0.07335770252848882,0.9476445296225945,False,False
ACA_R–PCA_R,$\alpha$,2,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Mann–Whitney,62.0,0.9476445296225945,0.8940431670195769,0.023814765862979807,11,0.8634319517515879,0.0399204690752332,11,0.16076330499245528,0.02949118570124912,0.9476445296225945,False,False
ACA_R–PCA_R,$\beta$,3,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Welch t-test,0.8490377497321467,0.4059587015662981,0.7834521821158368,0.02773808796810786,11,0.7488970567036883,0.029782886201880354,11,0.4198046166079546,0.6021014271655538,0.9476445296225945,False,False
ACA_R–PCA_R,$\gamma$,4,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Welch t-test,0.24835993610115573,0.806782188455188,0.561200851762984,0.019009743533889588,11,0.5555499925146674,0.0125026010061593,11,0.2526547428788299,0.6177911137363661,0.9476445296225945,False,False
