pair,band,band_idx,groupA,groupB,comparison,symbol,test,stat,p_uncorrected,meanA,semA,nA,meanB,semB,nB,shapiro_p_A,shapiro_p_B,p_corrected,significant_corrected,significant_uncorrected
ACA_R–PCA_R,$\delta$,0,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Mann–Whitney,95.0,0.02557464990093703,0.24215613467909272,0.06352212534266743,11,0.0656955909427584,0.042775391831503404,11,0.6949951179181392,0.0037662450048414377,0.06393662475234257,False,True
ACA_R–PCA_R,$\theta$,1,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Mann–Whitney,88.0,0.07623611561456438,0.7463919754594778,0.06347644739621802,11,0.5554713766419771,0.07738080034982571,11,0.005657072529997401,0.8040558950874185,0.12706019269094063,False,False
ACA_R–PCA_R,$\alpha$,2,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Mann–Whitney,96.0,0.0215461209513858,0.8818890379572586,0.08636696693911886,11,0.7796901726443763,0.05911190961585371,11,2.3677201326424706e-07,0.18781737736841328,0.06393662475234257,False,True
ACA_R–PCA_R,$\beta$,3,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Welch t-test,0.8943738829377794,0.3818885436828544,0.6542199765261381,0.0700616189393847,11,0.5602350195162492,0.07832082096786189,11,0.09157269528907427,0.9483631709223251,0.477360679603568,False,False
ACA_R–PCA_R,$\gamma$,4,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Mann–Whitney,51.0,0.5545304064894243,0.11256156383378194,0.020045459138832787,11,0.1346786619325449,0.027641888510845238,11,0.03563843550631318,0.07551648380301158,0.5545304064894243,False,False
ACA_R–PCA_R,$\delta$,0,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Mann–Whitney,36.0,0.19266669599887198,0.030651900464482063,0.024969264103985322,10,0.09168699514610144,0.034537267074702366,11,0.22967081382676854,0.007211258040974283,0.613195292016932,False,False
ACA_R–PCA_R,$\theta$,1,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Welch t-test,-0.548532168167241,0.5899024676393678,0.3794382481112837,0.0893900188577251,10,0.4581917491007269,0.11234836689816545,11,0.6420774632868882,0.06349551717213761,0.8647565602427959,False,False
ACA_R–PCA_R,$\alpha$,2,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Mann–Whitney,38.0,0.2452781168067728,0.572627934494252,0.12320745854248112,10,0.6997683828177045,0.10118981618965481,11,0.01876215822624672,0.01453944667713627,0.613195292016932,False,False
ACA_R–PCA_R,$\beta$,3,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Welch t-test,-0.4030249521257642,0.6918052481942367,0.4237727752876125,0.0992277840240677,10,0.474612448657564,0.0778875133299408,11,0.13000220964876735,0.8143192178341659,0.8647565602427959,False,False
ACA_R–PCA_R,$\gamma$,4,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Welch t-test,0.013858429376200047,0.9890906916438325,0.11751333201250458,0.0215557193375305,10,0.11711022380889417,0.01953044807335633,11,0.428590387660623,0.19229388568338057,0.9890906916438325,False,False
ACA_R–PCA_R,$\delta$,0,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Welch t-test,3.0988094488080766,0.008476582893020704,0.24215613467909272,0.06352212534266743,11,0.030651900464482063,0.024969264103985322,10,0.6949951179181392,0.22967081382676854,0.014127638155034507,True,True
ACA_R–PCA_R,$\theta$,1,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Mann–Whitney,95.0,0.005410729359599602,0.7463919754594778,0.06347644739621802,11,0.3794382481112837,0.0893900188577251,10,0.005657072529997401,0.6420774632868882,0.013526823398999004,True,True
ACA_R–PCA_R,$\alpha$,2,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Mann–Whitney,98.0,0.002764671934543766,0.8818890379572586,0.08636696693911886,11,0.572627934494252,0.12320745854248112,10,2.3677201326424706e-07,0.01876215822624672,0.013526823398999004,True,True
