method,edge,band,term,estimate,ci_lower,ci_upper,std_error,z_value,p_value,n_subjects,p_fdr,significant_fdr
dpli,ACA_R–PCA_R,alpha,genotype[T.3xTg],-0.0397385073911851,-0.13234710269113467,0.05287008790876448,0.047250151548923536,-0.8410239139664819,0.4003345375501258,43,0.6672242292502097,False
dpli,ACA_R–PCA_R,alpha,interaction_kind[T.familiar cup],0.010820552909832436,-0.014095455283417196,0.03573656110308207,0.012712482673040896,0.8511754303334755,0.39467190901519433,43,0.9427533185244348,False
dpli,ACA_R–PCA_R,alpha,sex[T.m],0.030611215267989777,-0.05976551964089219,0.12098795017687175,0.04611142634342372,0.6638531421692936,0.5067843091684199,43,0.922009577459231,False
dpli,ACA_R–PCA_R,alpha,genotype[T.3xTg]:interaction_kind[T.familiar cup],-0.02036657236199806,-0.056473298535950414,0.015740153811954292,0.018422137579444112,-1.1055488145264747,0.26892185488238884,43,0.4704558127762367,False
dpli,ACA_R–PCA_R,alpha,genotype[T.3xTg]:sex[T.m],0.0791022580955533,-0.05029753377530005,0.20850204996640664,0.06602151513575882,1.198128487855766,0.23086699992745718,43,0.44020771470963155,False
dpli,ACA_R–PCA_R,alpha,interaction_kind[T.familiar cup]:sex[T.m],0.00032143365177402606,-0.03491512305531879,0.035557990358866844,0.017978165407647427,0.01787911305106231,0.9857352917222448,43,0.9857352917222448,False
dpli,ACA_R–PCA_R,alpha,genotype[T.3xTg]:interaction_kind[T.familiar cup]:sex[T.m],-0.00030014797545663177,-0.050751219357271164,0.0501509234063579,0.02574081553526807,-0.011660391064354285,0.9906965648204653,43,0.9906965648204653,False
dpli,ACA_R–PCA_R,beta,genotype[T.3xTg],-0.007566432842943539,-0.08074316667633066,0.06561030099044357,0.03733575433558772,-0.20265916619585642,0.8394014414733243,43,0.8394014414733243,False
dpli,ACA_R–PCA_R,beta,interaction_kind[T.familiar cup],-0.004171261106352998,-0.0339177625404401,0.025575240327734106,0.015177065328099757,-0.27483976751619216,0.7834393440839794,43,0.9427533185244348,False
dpli,ACA_R–PCA_R,beta,sex[T.m],0.03455512541214862,-0.03685805447398926,0.10596830529828649,0.03643596537968857,0.9483795763899688,0.34293625291469254,43,0.922009577459231,False
dpli,ACA_R–PCA_R,beta,genotype[T.3xTg]:interaction_kind[T.familiar cup],-0.0033171001840977626,-0.046423876100339864,0.03978967573214434,0.0219936571571023,-0.15082076438690817,0.8801171060196128,43,0.8801171060196128,False
dpli,ACA_R–PCA_R,beta,genotype[T.3xTg]:sex[T.m],0.036348392916292695,-0.06589972020063614,0.13859650603322154,0.05216836325741132,0.6967516449948973,0.48595823226718193,43,0.48595823226718193,False
dpli,ACA_R–PCA_R,beta,interaction_kind[T.familiar cup]:sex[T.m],0.022986994022199687,-0.01908091173903705,0.06505489978343643,0.02146361162402116,1.0709751194190273,0.28418061705509645,43,0.9857352917222448,False
dpli,ACA_R–PCA_R,beta,genotype[T.3xTg]:interaction_kind[T.familiar cup]:sex[T.m],-0.014183579101613388,-0.07441565382122942,0.04604849561800264,0.030731215060439347,-0.46153655407761845,0.644413701938563,43,0.8055171274232037,False
dpli,ACA_R–PCA_R,delta,genotype[T.3xTg],-0.07889903740138324,-0.17886037433116414,0.02106229952839765,0.05100161927375358,-1.5469908313673133,0.12186545654733391,43,0.6093272827366695,False
dpli,ACA_R–PCA_R,delta,interaction_kind[T.familiar cup],-0.0021310425404571518,-0.06029538648728027,0.05603330140636597,0.029676230994863197,-0.0718097436573406,0.9427533185244348,43,0.9427533185244348,False
dpli,ACA_R–PCA_R,delta,sex[T.m],-0.0048728592212224425,-0.10242513522302851,0.09267941678058364,0.04977248396974944,-0.09790267297457071,0.922009577459231,43,0.922009577459231,False
dpli,ACA_R–PCA_R,delta,genotype[T.3xTg]:interaction_kind[T.familiar cup],0.09670157982082302,0.012413437687987264,0.18098972195365876,0.043004944375350705,2.2486153912164992,0.02453697633681764,43,0.12268488168408818,False
dpli,ACA_R–PCA_R,delta,genotype[T.3xTg]:sex[T.m],0.08826116025255597,-0.05141244295836474,0.2279347634634767,0.0712633519353663,1.2385210329792817,0.21552292814161667,43,0.44020771470963155,False
dpli,ACA_R–PCA_R,delta,interaction_kind[T.familiar cup]:sex[T.m],0.010137272657820592,-0.07211953139831014,0.09239407671395132,0.041968528353052356,0.2415446301224263,0.8091330304074844,43,0.9857352917222448,False
dpli,ACA_R–PCA_R,delta,genotype[T.3xTg]:interaction_kind[T.familiar cup]:sex[T.m],-0.11318495616161442,-0.23095877633288092,0.004588864009652069,0.06008978792480442,-1.8835971979673585,0.05961948116960769,43,0.29809740584803845,False
dpli,ACA_R–PCA_R,gamma,genotype[T.3xTg],0.008780457293813156,-0.03377411582932689,0.0513350304169532,0.02171191586111025,0.40440730104064443,0.6859132322048207,43,0.8394014414733243,False
dpli,ACA_R–PCA_R,gamma,interaction_kind[T.familiar cup],-0.0024349059482674253,-0.020827842866185636,0.01595803096965079,0.009384323927888141,-0.2594652493858851,0.795276291090431,43,0.9427533185244348,False
dpli,ACA_R–PCA_R,gamma,sex[T.m],0.005650859248315168,-0.03587815176685089,0.04717987026348123,0.021188660272709908,0.2666926165026693,0.7897058392666774,43,0.922009577459231,False
dpli,ACA_R–PCA_R,gamma,genotype[T.3xTg]:interaction_kind[T.familiar cup],-0.005440180573460407,-0.03209407840810531,0.021213717261184498,0.013599177354730726,-0.4000374751762421,0.6891289150094098,43,0.8614111437617622,False
dpli,ACA_R–PCA_R,gamma,genotype[T.3xTg]:sex[T.m],-0.023698405004552427,-0.08315889986955044,0.03576208986044559,0.030337544635521272,-0.7811576477024681,0.4347097797895042,43,0.48595823226718193,False
dpli,ACA_R–PCA_R,gamma,interaction_kind[T.familiar cup]:sex[T.m],-0.009874992467985903,-0.035886533309178625,0.016136548373206817,0.013271438172521759,-0.7440785497107519,0.4568289554645447,43,0.9857352917222448,False
