method,edge,band,term,estimate,ci_lower,ci_upper,std_error,z_value,p_value,n_subjects,p_fdr,significant_fdr
wPLI2-debiased,ACA_R–PCA_R,alpha,genotype[T.3xTg],-0.12714044832345325,-0.3739891913080664,0.1197082946611599,0.1259455504956849,-1.0094874159751224,0.31274093374402556,43,0.793248232999962,False
wPLI2-debiased,ACA_R–PCA_R,alpha,interaction_kind[T.familiar cup],0.06262501789774412,-0.014329857478069877,0.13957989327355813,0.03926341299269999,1.5949967953470479,0.11071295241370037,43,0.49326189951886923,False
wPLI2-debiased,ACA_R–PCA_R,alpha,sex[T.m],0.07992178982667193,-0.16097791645926574,0.3208214961126096,0.12291027191628205,0.6502450005245217,0.5155339774188186,43,0.720989772572667,False
wPLI2-debiased,ACA_R–PCA_R,alpha,genotype[T.3xTg]:interaction_kind[T.familiar cup],-0.09198393284298548,-0.20350214199568323,0.01953427630971226,0.056898091001844495,-1.616643567883562,0.10595524170332189,43,0.34590686278874627,False
wPLI2-debiased,ACA_R–PCA_R,alpha,genotype[T.3xTg]:sex[T.m],0.22933931363633564,-0.11557657524345288,0.5742552025161242,0.1759807280135967,1.3032069830886046,0.19250410674136031,43,0.3208401779022672,False
wPLI2-debiased,ACA_R–PCA_R,alpha,interaction_kind[T.familiar cup]:sex[T.m],-0.04363314512536862,-0.15246377357257607,0.06519748332183883,0.0555268511593323,-0.7858026200723122,0.4319831313858796,43,0.6613844836558842,False
wPLI2-debiased,ACA_R–PCA_R,alpha,genotype[T.3xTg]:interaction_kind[T.familiar cup]:sex[T.m],0.05470096137665611,-0.10112078505444685,0.21052270780775909,0.0795023519106499,0.6880420523676172,0.491426300093322,43,0.916932984505848,False
wPLI2-debiased,ACA_R–PCA_R,beta,genotype[T.3xTg],-0.05083967336995212,-0.2604996970293345,0.15882035028943026,0.10697136545015823,-0.47526432102654737,0.6345985863999697,43,0.793248232999962,False
wPLI2-debiased,ACA_R–PCA_R,beta,interaction_kind[T.familiar cup],-0.007424618913178542,-0.09914895383543552,0.08429971600907844,0.04679899000479949,-0.15864912709477505,0.8739453210980441,43,0.9877552824025307,False
wPLI2-debiased,ACA_R–PCA_R,beta,sex[T.m],0.08562257085868538,-0.11898466152489703,0.29022980324226777,0.10439336334621359,0.8201917067728134,0.4121068289609229,43,0.720989772572667,False
wPLI2-debiased,ACA_R–PCA_R,beta,genotype[T.3xTg]:interaction_kind[T.familiar cup],-0.07086684613694119,-0.20378803555214983,0.06205434327826745,0.06781817955007033,-1.0449535302642565,0.2960444473622613,43,0.49340741227043555,False
wPLI2-debiased,ACA_R–PCA_R,beta,genotype[T.3xTg]:sex[T.m],0.14482463037984025,-0.14812834377219333,0.43777760453187387,0.14946854965846784,0.9689304586868687,0.33257988720567655,43,0.41572485900709566,False
wPLI2-debiased,ACA_R–PCA_R,beta,interaction_kind[T.familiar cup]:sex[T.m],0.04165400288511134,-0.08806379556159655,0.17137180133181923,0.06618376637015033,0.6293688795549991,0.5291075869247074,43,0.6613844836558842,False
wPLI2-debiased,ACA_R–PCA_R,beta,genotype[T.3xTg]:interaction_kind[T.familiar cup]:sex[T.m],0.009883340602520415,-0.17584428208569064,0.19561096329073147,0.09476073241814996,0.10429784943945213,0.916932984505848,43,0.916932984505848,False
wPLI2-debiased,ACA_R–PCA_R,delta,genotype[T.3xTg],-0.06103509468161951,-0.20719844598405768,0.08512825662081867,0.0745745087437096,-0.8184444753284124,0.4131034347760474,43,0.793248232999962,False
wPLI2-debiased,ACA_R–PCA_R,delta,interaction_kind[T.familiar cup],0.0008121200561974633,-0.10290311763499985,0.10452735774739477,0.052916909958187944,0.015347080108025133,0.9877552824025307,43,0.9877552824025307,False
wPLI2-debiased,ACA_R–PCA_R,delta,sex[T.m],-0.025991404203343327,-0.16863222940179484,0.11664942099510818,0.07277726852308723,-0.357136297236795,0.720989772572667,43,0.720989772572667,False
wPLI2-debiased,ACA_R–PCA_R,delta,genotype[T.3xTg]:interaction_kind[T.familiar cup],0.11363905211970168,-0.03665860625067105,0.2639367104900744,0.07668388784482852,1.4819156319988982,0.1383627451154985,43,0.34590686278874627,False
wPLI2-debiased,ACA_R–PCA_R,delta,genotype[T.3xTg]:sex[T.m],0.2374956384179542,0.033265057267003295,0.4417262195689051,0.10420119081875774,2.279202728412596,0.022655016991326382,43,0.11327508495663191,False
wPLI2-debiased,ACA_R–PCA_R,delta,interaction_kind[T.familiar cup]:sex[T.m],0.11744811962582917,-0.029227376141811326,0.2641236153934697,0.0748358117417453,1.5694106456830699,0.11655228508984301,43,0.582761425449215,False
wPLI2-debiased,ACA_R–PCA_R,delta,genotype[T.3xTg]:interaction_kind[T.familiar cup]:sex[T.m],-0.27876874518284817,-0.4887760954596906,-0.06876139490600577,0.10714857616433444,-2.601702749230179,0.009276221530775142,43,0.04638110765387571,True
wPLI2-debiased,ACA_R–PCA_R,gamma,genotype[T.3xTg],0.0004031082036105243,-0.06363951707733208,0.06444573348455314,0.03267540923511997,0.012336745370498932,0.9901569510165658,43,0.9901569510165658,False
wPLI2-debiased,ACA_R–PCA_R,gamma,interaction_kind[T.familiar cup],-0.0135080471692064,-0.039131201918322756,0.012115107579909959,0.013073278361862022,-1.0332562954226314,0.30148397413908823,43,0.5024732902318138,False
wPLI2-debiased,ACA_R–PCA_R,gamma,sex[T.m],0.017568438123650883,-0.04493076455983659,0.08006764080713835,0.03188793425617675,0.5509431242084252,0.5816726641135015,43,0.720989772572667,False
wPLI2-debiased,ACA_R–PCA_R,gamma,genotype[T.3xTg]:interaction_kind[T.familiar cup],0.009359594862125967,-0.027771884027409814,0.04649107375166175,0.018944980204954862,0.49404088897797116,0.621277302610717,43,0.7765966282633963,False
wPLI2-debiased,ACA_R–PCA_R,gamma,genotype[T.3xTg]:sex[T.m],-0.02252020630237373,-0.11200544636433521,0.06696503375958773,0.045656573675745896,-0.49325221954483023,0.6218343846022553,43,0.6218343846022553,False
