,subject_id,channel,band,psd_ratio,genotype
0,b1c1.1,A1_L,$\alpha$,1.0648105663757756,3xTg
1,b1c1.1,A1_L,$\beta$,1.0276585751892426,3xTg
2,b1c1.1,A1_L,$\delta$,0.6661344517710797,3xTg
3,b1c1.1,A1_L,$\gamma$,1.002863923723298,3xTg
4,b1c1.1,A1_L,$\theta$,1.0084806086311249,3xTg
5,b1c1.1,A1_R,$\alpha$,1.1297872116488727,3xTg
6,b1c1.1,A1_R,$\beta$,1.0127463325406063,3xTg
7,b1c1.1,A1_R,$\delta$,0.8588181866726429,3xTg
8,b1c1.1,A1_R,$\gamma$,0.9887161401724228,3xTg
9,b1c1.1,A1_R,$\theta$,1.0327165379393124,3xTg
10,b1c1.1,ACA_R,$\alpha$,1.0859838701239837,3xTg
11,b1c1.1,ACA_R,$\beta$,1.0327176499717348,3xTg
12,b1c1.1,ACA_R,$\delta$,0.8875545591056526,3xTg
13,b1c1.1,ACA_R,$\gamma$,0.9773831224147754,3xTg
14,b1c1.1,ACA_R,$\theta$,1.1008579441371016,3xTg
15,b1c1.1,AI_L,$\alpha$,1.1092233790680806,3xTg
16,b1c1.1,AI_L,$\beta$,0.9615665093170205,3xTg
17,b1c1.1,AI_L,$\delta$,1.078484233298435,3xTg
18,b1c1.1,AI_L,$\gamma$,0.982648910479842,3xTg
19,b1c1.1,AI_L,$\theta$,1.2112744069609103,3xTg
20,b1c1.1,AI_R,$\alpha$,1.0218218727066157,3xTg
21,b1c1.1,AI_R,$\beta$,1.0075171141593147,3xTg
22,b1c1.1,AI_R,$\delta$,0.8823711301278511,3xTg
23,b1c1.1,AI_R,$\gamma$,0.9375675292682447,3xTg
24,b1c1.1,AI_R,$\theta$,1.0258784409195632,3xTg
25,b1c1.1,PCA_R,$\alpha$,1.1477483903336272,3xTg
26,b1c1.1,PCA_R,$\beta$,1.1921424169700727,3xTg
27,b1c1.1,PCA_R,$\delta$,0.9759449884011414,3xTg
28,b1c1.1,PCA_R,$\gamma$,0.9657014515937372,3xTg
29,b1c1.1,PCA_R,$\theta$,0.9615051448559794,3xTg
30,b1c1.1,PMC_R,$\alpha$,1.1019759883189002,3xTg
31,b1c1.1,PMC_R,$\beta$,0.928525963850663,3xTg
32,b1c1.1,PMC_R,$\delta$,0.9020508970160473,3xTg
33,b1c1.1,PMC_R,$\gamma$,1.0019217702950534,3xTg
34,b1c1.1,PMC_R,$\theta$,1.1464457052810901,3xTg
35,b1c1.1,S1_L,$\alpha$,0.9262939194957787,3xTg
36,b1c1.1,S1_L,$\beta$,0.996375794039848,3xTg
37,b1c1.1,S1_L,$\delta$,0.7317366214269999,3xTg
38,b1c1.1,S1_L,$\gamma$,1.0044484419423239,3xTg
39,b1c1.1,S1_L,$\theta$,0.8994872612706227,3xTg
40,b1c1.2,A1_L,$\alpha$,1.2564569379193216,3xTg
41,b1c1.2,A1_L,$\beta$,1.4265689165949988,3xTg
42,b1c1.2,A1_L,$\delta$,2.3308287821957996,3xTg
43,b1c1.2,A1_L,$\gamma$,1.5546550857992323,3xTg
44,b1c1.2,A1_L,$\theta$,1.624095171942043,3xTg
45,b1c1.2,A1_R,$\alpha$,1.050455259195084,3xTg
46,b1c1.2,A1_R,$\beta$,1.106329063071078,3xTg
47,b1c1.2,A1_R,$\delta$,1.0579166541304004,3xTg
48,b1c1.2,A1_R,$\gamma$,1.0425760614071888,3xTg
49,b1c1.2,A1_R,$\theta$,1.0186441179448065,3xTg
50,b1c1.2,ACA_R,$\alpha$,0.9828471379774758,3xTg
51,b1c1.2,ACA_R,$\beta$,0.9516982918656204,3xTg
52,b1c1.2,ACA_R,$\delta$,1.558312533510299,3xTg
53,b1c1.2,ACA_R,$\gamma$,0.9479166081487762,3xTg
54,b1c1.2,ACA_R,$\theta$,1.4591569647226197,3xTg
55,b1c1.2,AI_L,$\alpha$,0.9688894911869111,3xTg
56,b1c1.2,AI_L,$\beta$,0.9046890435250938,3xTg
57,b1c1.2,AI_L,$\delta$,1.154214391265891,3xTg
58,b1c1.2,AI_L,$\gamma$,0.9973760961283589,3xTg
59,b1c1.2,AI_L,$\theta$,1.190967559260185,3xTg
60,b1c1.2,AI_R,$\alpha$,1.1322845012647802,3xTg
61,b1c1.2,AI_R,$\beta$,0.9470241210604875,3xTg
62,b1c1.2,AI_R,$\delta$,1.218520314472993,3xTg
63,b1c1.2,AI_R,$\gamma$,0.9355121457499215,3xTg
64,b1c1.2,AI_R,$\theta$,1.4916435281547942,3xTg
65,b1c1.2,PCA_R,$\alpha$,1.1129872163980234,3xTg
66,b1c1.2,PCA_R,$\beta$,0.8838159950144879,3xTg
67,b1c1.2,PCA_R,$\delta$,1.0384010250878375,3xTg
68,b1c1.2,PCA_R,$\gamma$,1.170581180498733,3xTg
69,b1c1.2,PCA_R,$\theta$,1.4772027629311564,3xTg
70,b1c1.2,PMC_R,$\alpha$,0.9716275651451319,3xTg
71,b1c1.2,PMC_R,$\beta$,0.9874251926618437,3xTg
72,b1c1.2,PMC_R,$\delta$,1.7982537180248819,3xTg
73,b1c1.2,PMC_R,$\gamma$,1.0657580744126731,3xTg
74,b1c1.2,PMC_R,$\theta$,1.5088531638715694,3xTg
75,b1c1.2,S1_L,$\alpha$,0.7784856197133854,3xTg
76,b1c1.2,S1_L,$\beta$,0.9262978976370072,3xTg
77,b1c1.2,S1_L,$\delta$,1.5313871678867945,3xTg
78,b1c1.2,S1_L,$\gamma$,1.0587544048075401,3xTg
79,b1c1.2,S1_L,$\theta$,0.9085058456690565,3xTg
80,b1c1.3,A1_L,$\alpha$,0.8588581565274993,3xTg
81,b1c1.3,A1_L,$\beta$,0.9568969602304996,3xTg
82,b1c1.3,A1_L,$\delta$,0.6754294288675534,3xTg
83,b1c1.3,A1_L,$\gamma$,1.0217094688597388,3xTg
84,b1c1.3,A1_L,$\theta$,0.7917831477706547,3xTg
