,subject_id,channel,band,psd_ratio,genotype
0,b1c3.1,A1_L,$\alpha$,1.2476378982380099,3xTg
1,b1c3.1,A1_L,$\beta$,1.4982916804062956,3xTg
2,b1c3.1,A1_L,$\delta$,1.3462135420278898,3xTg
3,b1c3.1,A1_L,$\gamma$,1.5495830898062173,3xTg
4,b1c3.1,A1_L,$\theta$,1.1621539874130007,3xTg
5,b1c3.1,A1_R,$\alpha$,1.2539990174886622,3xTg
6,b1c3.1,A1_R,$\beta$,1.4714680119973782,3xTg
7,b1c3.1,A1_R,$\delta$,1.3866067351130196,3xTg
8,b1c3.1,A1_R,$\gamma$,1.5513914200589167,3xTg
9,b1c3.1,A1_R,$\theta$,1.1768038995520365,3xTg
10,b1c3.1,ACA_R,$\alpha$,1.3064506669186213,3xTg
11,b1c3.1,ACA_R,$\beta$,1.5080278821864963,3xTg
12,b1c3.1,ACA_R,$\delta$,1.3603291803754234,3xTg
13,b1c3.1,ACA_R,$\gamma$,1.6021310124385382,3xTg
14,b1c3.1,ACA_R,$\theta$,1.181234583827039,3xTg
15,b1c3.1,AI_L,$\alpha$,1.28556821336,3xTg
16,b1c3.1,AI_L,$\beta$,1.430351553011988,3xTg
17,b1c3.1,AI_L,$\delta$,1.292754425210395,3xTg
18,b1c3.1,AI_L,$\gamma$,1.5931394414802837,3xTg
19,b1c3.1,AI_L,$\theta$,1.1775363890106094,3xTg
20,b1c3.1,AI_R,$\alpha$,1.355992419716845,3xTg
21,b1c3.1,AI_R,$\beta$,1.4715051325307185,3xTg
22,b1c3.1,AI_R,$\delta$,1.38389581261115,3xTg
23,b1c3.1,AI_R,$\gamma$,1.2595594209177552,3xTg
24,b1c3.1,AI_R,$\theta$,1.2025863344619978,3xTg
25,b1c3.1,PCA_R,$\alpha$,1.278545425133268,3xTg
26,b1c3.1,PCA_R,$\beta$,1.4658611215861408,3xTg
27,b1c3.1,PCA_R,$\delta$,1.3528085541278208,3xTg
28,b1c3.1,PCA_R,$\gamma$,1.5015767084286142,3xTg
29,b1c3.1,PCA_R,$\theta$,1.1684186885003949,3xTg
30,b1c3.1,PMC_R,$\alpha$,1.2909640977596237,3xTg
31,b1c3.1,PMC_R,$\beta$,1.4779274265235396,3xTg
32,b1c3.1,PMC_R,$\delta$,1.3641052967026077,3xTg
33,b1c3.1,PMC_R,$\gamma$,1.5958081549842378,3xTg
34,b1c3.1,PMC_R,$\theta$,1.17158121974577,3xTg
35,b1c3.1,S1_L,$\alpha$,1.274460643391058,3xTg
36,b1c3.1,S1_L,$\beta$,1.50554120207098,3xTg
37,b1c3.1,S1_L,$\delta$,1.334805415649593,3xTg
38,b1c3.1,S1_L,$\gamma$,1.4424342703998108,3xTg
39,b1c3.1,S1_L,$\theta$,1.1597704093791346,3xTg
40,b1c3.2,A1_L,$\alpha$,0.8065756819665408,3xTg
41,b1c3.2,A1_L,$\beta$,0.971480047420858,3xTg
42,b1c3.2,A1_L,$\delta$,0.9332895581749647,3xTg
43,b1c3.2,A1_L,$\gamma$,1.0266304380367561,3xTg
44,b1c3.2,A1_L,$\theta$,0.7622860678307957,3xTg
45,b1c3.2,A1_R,$\alpha$,0.7973966985340251,3xTg
46,b1c3.2,A1_R,$\beta$,0.908899236193494,3xTg
