analysis,channel,band,n_ntg,n_3xtg,mean_ntg,sd_ntg,mean_3xtg,sd_3xtg,difference,stat,p_value,p_fdr,significant_fdr
All subjects,ACA_R,$\delta$,22,21,1.15343845254276,0.6566125646199661,1.10063962503543,0.31832164026001997,0.05279882750732989,0.3329070571490747,0.7409007944141495,0.9028268442094589,False
All subjects,ACA_R,$\theta$,22,21,1.1397967149326573,0.5543143021140617,1.070665383013106,0.27732702113167906,0.06913133191955123,0.5132862806860649,0.610506031541436,0.9028268442094589,False
All subjects,ACA_R,$\alpha$,22,21,1.0766216795756227,0.46959426043308566,1.010410932913294,0.2079886194229868,0.06621074666232873,0.5927624328003342,0.5565957096645406,0.9028268442094589,False
All subjects,ACA_R,$\beta$,22,21,1.1439866943614827,0.4523213512579884,1.0290918356271956,0.21245486014588963,0.11489485873428706,1.0575717715906294,0.29644225726722856,0.9028268442094589,False
All subjects,ACA_R,$\gamma$,22,21,1.025310276229749,0.11531242913440902,1.0301582532140918,0.14261498418990257,-0.0048479769843428056,-0.12284907072785203,0.9028268442094589,0.9028268442094589,False
All subjects,PCA_R,$\delta$,22,21,1.17932588866696,0.6761544529423519,1.0965084922523562,0.3229382748417008,0.08281739641460373,0.5084578733649443,0.6138574154563308,0.9028268442094589,False
All subjects,PCA_R,$\theta$,22,21,1.1069892557353584,0.5197427323675747,1.075290951936099,0.2806382378319858,0.03169830379925953,0.24711974360681166,0.8060488301339861,0.9028268442094589,False
All subjects,PCA_R,$\alpha$,22,21,1.0304674060879433,0.3932451846719195,1.0430780219239861,0.1823524737212134,-0.012610615836042838,-0.1338093245151617,0.8942080192399953,0.9028268442094589,False
All subjects,PCA_R,$\beta$,22,21,1.0781849535828227,0.3432820623833818,1.0381206521083992,0.1928021298414497,0.040064301474423525,0.4687413916844552,0.641737330384909,0.9028268442094589,False
All subjects,PCA_R,$\gamma$,22,21,0.9951576181191375,0.08830453595746163,1.0362153365450726,0.12231604398839258,-0.041057718425935086,-1.2664683843143685,0.21249353391783732,0.9028268442094589,False
