analysis,channel,band,n_ntg,n_3xtg,mean_ntg,sd_ntg,mean_3xtg,sd_3xtg,difference,stat,p_value,p_fdr,significant_fdr
Females only,ACA_R,$\delta$,11,10,0.9240870566283604,0.26788266234389824,1.1989784358135798,0.3206344203934557,-0.27489137918521933,-2.1395534301161776,0.04558570062226305,0.3826430967223665,False
Females only,ACA_R,$\theta$,11,10,1.0049703793150728,0.2334907224088813,1.1262459947950194,0.31364167365592904,-0.12127561547994659,-1.0115565283831953,0.3244595866443982,0.4055744833054978,False
Females only,ACA_R,$\alpha$,11,10,0.9408777247370989,0.23780890730930182,1.0518345934074385,0.2400736575338916,-0.1109568686703396,-1.063048722309267,0.30108504584729706,0.4055744833054978,False
Females only,ACA_R,$\beta$,11,10,1.021889970938005,0.2465233695245747,1.093397932919265,0.2285234878761682,-0.07150796198125997,-0.6871633258179335,0.500282187785009,0.506786151513153,False
Females only,ACA_R,$\gamma$,11,10,0.9938353558467585,0.07877569670718626,1.0826112771198193,0.1910103698061665,-0.08877592127306078,-1.417399366727058,0.1725569981564671,0.3827846377495303,False
Females only,PCA_R,$\delta$,11,10,0.9877576536352781,0.2770876888635323,1.2271506138794068,0.3439574028464237,-0.2393929602441287,-1.7642031699224858,0.09376993481641296,0.3826430967223665,False
Females only,PCA_R,$\theta$,11,10,0.9983776084927971,0.21710234336057682,1.1379878431633397,0.31798150743834785,-0.13961023467054257,-1.185031140321132,0.2506162598573503,0.4055744833054978,False
Females only,PCA_R,$\alpha$,11,10,0.9461934875628394,0.21602566078234436,1.0702405339062468,0.2021435880532713,-0.12404704634340746,-1.3547376303532601,0.19139231887476515,0.3827846377495303,False
Females only,PCA_R,$\beta$,11,10,1.0088751264430884,0.2162214489829983,1.0715629600176402,0.20728603086440267,-0.06268783357455177,-0.676644740582846,0.506786151513153,0.506786151513153,False
Females only,PCA_R,$\gamma$,11,10,0.980848344635456,0.07103646847678444,1.068022909874844,0.15860127570989677,-0.08717456523938794,-1.6528375638139439,0.11479292901670995,0.3826430967223665,False
