analysis,channel,band,n_ntg,n_3xtg,mean_ntg,sd_ntg,mean_3xtg,sd_3xtg,difference,stat,p_value,cliffs_delta,p_fdr,significant_fdr
Males only,ACA_R,$\delta$,11,11,1.382789848457159,0.8472947934889606,1.0112407061462032,0.3027699454289296,0.3715491423109558,1.3695668266768661,0.18600487596640347,0.19008264462809918,0.44385915267028686,False
Males only,ACA_R,$\theta$,11,11,1.2746230505502416,0.7421221587116593,1.0201375541204576,0.24369856738048648,0.254485496429784,1.080554464432283,0.2927537013434443,0.0743801652892562,0.4838631993636987,False
Males only,ACA_R,$\alpha$,11,11,1.2123656344141467,0.6049778612523534,0.9727530597367987,0.17711820933856862,0.23961257467734798,1.2606917676608596,0.22192957633514343,0.09090909090909091,0.44385915267028686,False
Males only,ACA_R,$\beta$,11,11,1.2660834177849607,0.5797224824437051,0.9706317471798596,0.18809262307412344,0.29545167060510114,1.6077870418358091,0.12355467555937769,0.2066115702479339,0.44385915267028686,False
Males only,ACA_R,$\gamma$,11,11,1.056785196612739,0.13978026511810296,0.9824736860270673,0.05088302993516237,0.07431151058567176,1.6568577540783755,0.11315331906592745,0.4214876033057851,0.44385915267028686,False
Males only,PCA_R,$\delta$,11,11,1.3708941236986418,0.8958650180078735,0.9777429271368553,0.2636647187125244,0.39315119656178654,1.3962863445141729,0.1779342476071853,0.17355371900826447,0.44385915267028686,False
Males only,PCA_R,$\theta$,11,11,1.21560090297792,0.7029883079918389,1.0182937780931525,0.24292011057782964,0.19730712488476754,0.8798263184897002,0.38940303344710936,0.09090909090909091,0.48675379180888667,False
Males only,PCA_R,$\alpha$,11,11,1.1147413246130475,0.5123046326061808,1.0183848292128395,0.16828693048618718,0.09635649540020808,0.5926491494146335,0.5600579066464331,-0.0743801652892562,0.6222865629404811,False
Males only,PCA_R,$\beta$,11,11,1.1474947807225573,0.4360610237565149,1.0077185540090892,0.1831378429664706,0.13977622671346812,0.9801840830858466,0.33870423955458906,-0.008264462809917356,0.4838631993636987,False
Males only,PCA_R,$\gamma$,11,11,1.009466891602819,0.10430009452512777,1.0072993607907348,0.07315758540628566,0.0021675308120843173,0.05642805886326139,0.955560740518062,0.19008264462809918,0.955560740518062,False
