,channel,band,term,estimate,p_value,p_fdr
1,ACA_R,$\delta$,genotype[T.Ntg],-0.005459731497142628,0.5486804631568751,0.6194779422738913
2,ACA_R,$\delta$,event_kind[T.novel cup],0.006546188501647553,0.0026626601379188637,0.032822070758189124
3,ACA_R,$\delta$,sex[T.m],-0.027196141439395968,0.002813320350701925,0.032822070758189124
4,ACA_R,$\delta$,genotype[T.Ntg]:event_kind[T.novel cup],-0.00933204565585832,0.0019377944675883151,0.032822070758189124
5,ACA_R,$\delta$,genotype[T.Ntg]:sex[T.m],0.01973438173210974,0.12079886688795675,0.22252422847781508
6,ACA_R,$\delta$,event_kind[T.novel cup]:sex[T.m],-0.006846189158933853,0.02296982423721862,0.10049298103783147
7,ACA_R,$\delta$,genotype[T.Ntg]:event_kind[T.novel cup]:sex[T.m],0.012133145302721663,0.003924498234516788,0.03860945448673227
10,ACA_R,$\theta$,genotype[T.Ntg],-0.0002517675783474369,0.92651228528837,0.9399399995679116
11,ACA_R,$\theta$,event_kind[T.novel cup],-0.0014957689099095108,0.29351068533487346,0.39415638173233886
12,ACA_R,$\theta$,sex[T.m],-0.0005377880028565839,0.8438150511955046,0.8949553573285655
13,ACA_R,$\theta$,genotype[T.Ntg]:event_kind[T.novel cup],0.002934389778093202,0.135836897176849,0.23191665371657144
14,ACA_R,$\theta$,genotype[T.Ntg]:sex[T.m],-0.00026700914224193917,0.9441890279551222,0.9441890279551222
15,ACA_R,$\theta$,event_kind[T.novel cup]:sex[T.m],0.0034390695966725468,0.08046567293705287,0.1794589810877081
16,ACA_R,$\theta$,genotype[T.Ntg]:event_kind[T.novel cup]:sex[T.m],-0.005006853358462562,0.06856177243598945,0.16850491416121896
19,ACA_R,$\alpha$,genotype[T.Ntg],0.0021617608097643354,0.35733160079901405,0.4547856737441997
20,ACA_R,$\alpha$,event_kind[T.novel cup],-0.0020887339352978914,0.013147138544891497,0.07079228447249268
21,ACA_R,$\alpha$,sex[T.m],0.007048359513385593,0.0026897197211538794,0.032822070758189124
22,ACA_R,$\alpha$,genotype[T.Ntg]:event_kind[T.novel cup],0.0018393065415255056,0.1140152428115207,0.21570451342720132
23,ACA_R,$\alpha$,genotype[T.Ntg]:sex[T.m],-0.0053072583389477054,0.10581724523547184,0.20951576571498318
24,ACA_R,$\alpha$,event_kind[T.novel cup]:sex[T.m],0.0022746910261979255,0.0506422724265654,0.14575729535410187
25,ACA_R,$\alpha$,genotype[T.Ntg]:event_kind[T.novel cup]:sex[T.m],-0.0029234723012494827,0.07221639178337955,0.16850491416121896
28,ACA_R,$\beta$,genotype[T.Ntg],0.0006437092054938684,0.4008005584803511,0.4839920253349497
29,ACA_R,$\beta$,event_kind[T.novel cup],-0.00021941979232621443,0.30406349447923287,0.39415638173233886
30,ACA_R,$\beta$,sex[T.m],0.0025240917648421974,0.0009858464909776783,0.032822070758189124
31,ACA_R,$\beta$,genotype[T.Ntg]:event_kind[T.novel cup],0.0006198138970548468,0.03562517817780722,0.11766344100106753
32,ACA_R,$\beta$,genotype[T.Ntg]:sex[T.m],-0.0018616057813169208,0.08203839135438085,0.1794589810877081
33,ACA_R,$\beta$,event_kind[T.novel cup]:sex[T.m],0.0002569106285676992,0.3837915572424876,0.47973944655310946
34,ACA_R,$\beta$,genotype[T.Ntg]:event_kind[T.novel cup]:sex[T.m],-0.0005920027238829256,0.15091869736496188,0.24009792762607574
37,ACA_R,$\gamma$,genotype[T.Ntg],9.303014101000992e-05,0.7864232955145787,0.8601504794690704
38,ACA_R,$\gamma$,event_kind[T.novel cup],-0.0002025654477590325,0.030392545742406823,0.11197253694570936
39,ACA_R,$\gamma$,sex[T.m],0.000911494582211502,0.007935448672824232,0.050498309736154205
40,ACA_R,$\gamma$,genotype[T.Ntg]:event_kind[T.novel cup],0.0002673237496474028,0.03866084490035076,0.11766344100106753
