subject_id,file,n_epochs,lowest_epoch_ptp_uv,highest_epoch_ptp_uv,median_lowest_ptp_uv,median_highest_ptp_uv,p1_lowest_ptp_uv,p99_highest_ptp_uv,p5_lowest_ptp_uv,p95_highest_ptp_uv
b1c1.1,epochs_b1c1.1-epo.fif,97,200.02581004519016,1347.7674801833928,256.83951389510185,424.36830699443817,202.47803360689431,1331.1661710031328,209.8933036904782,580.6139553897082
b1c1.2,epochs_b1c1.2-epo.fif,24,180.16153626376763,2720.980846788734,426.34351848391816,1799.6142341871746,189.02228177466895,2665.1083072647452,224.8580291052349,2463.265191181563
b1c1.3,epochs_b1c1.3-epo.fif,176,245.02274027327076,1837.4434439465404,394.7287841583602,671.807662001811,268.5365252546035,1768.8048174022697,296.7780201288406,1503.467014117632
b1c1.4,epochs_b1c1.4-epo.fif,151,179.6357537386939,1794.889714801684,269.8387543205172,456.2520916806534,187.12606106419116,1756.6471069585532,210.43913147877902,1073.8235068856739
b1c2.1,epochs_b1c2.1-epo.fif,147,190.4571836348623,2279.2714880779386,431.16495362482965,623.5137989278883,206.2613153248094,2068.2812010636517,229.1973440151196,1128.9565707556885
b1c2.2,epochs_b1c2.2-epo.fif,141,294.3289146060124,2119.948621839285,648.8716608146206,834.2244836967438,302.21194319892675,1638.2999368943263,361.6595786297694,1298.9508104510605
b1c2.3,epochs_b1c2.3-epo.fif,87,316.609613946639,4955.468233674765,881.4289467409253,1478.4748200327158,327.93869846500456,4112.213891930879,360.85552419535816,3509.9960048682988
b1c2.4,epochs_b1c2.4-epo.fif,114,278.6130935419351,2831.486868672073,650.5485798697919,955.7386656524613,291.48167377570644,2791.2073407787843,343.0932280025445,2218.050597002729
b1c3.1,epochs_b1c3.1-epo.fif,196,330.99594293162227,3975.7376071065664,1412.1553103905171,1644.1718908026814,352.37833435530774,3795.4388943035165,515.7424493518192,3054.1967425961047
b1c3.2,epochs_b1c3.2-epo.fif,147,346.00350772961974,3100.069356150925,925.7905767299235,1336.3741745706648,360.0773124344414,2960.603272076696,400.5069436971098,2637.6929366961117
b1c3.3,epochs_b1c3.3-epo.fif,165,192.47624004492536,1986.30359955132,513.5909595992416,698.2515333220363,201.90802228171378,1934.2198921367522,257.01703125378117,1596.9243599101899
b1c4.1,epochs_b1c4.1-epo.fif,241,240.61717704171315,3575.880196876824,579.0741561213508,850.7575548719615,259.5578625914641,2161.525236442685,326.1032688897103,1683.8176234159619
b1c4.2,epochs_b1c4.2-epo.fif,153,201.02522830711678,3622.1096524968743,370.55352004244924,1119.166729040444,212.61221350869164,3574.0774311125274,246.33150605950505,3064.548643305898
b1c4.3,epochs_b1c4.3-epo.fif,262,575.6411410402507,6190.959829837084,3146.5580104850233,3602.4354049004614,826.9571830169298,6106.942563783377,1125.5253775743768,5799.582414329052
b1c4.4,epochs_b1c4.4-epo.fif,162,252.00383242918178,1841.9436528347433,466.3405197788961,672.1232202835381,261.77830863161944,1525.3637131536354,298.50308055756614,1196.9765968387944
b2c1.1,epochs_b2c1.1-epo.fif,161,220.8690821134951,2392.2378895804286,522.3006592132151,771.781022194773,251.13123992923644,2300.087432377041,309.2468323302455,1451.9805263262242
b2c1.2,epochs_b2c1.2-epo.fif,186,23.022113964543678,1904.2320782318711,42.150421904807445,237.68073151586577,25.69164676060609,1034.0066590288222,28.432670660549775,718.3415073086508
